Team,"Historic Score 

as of 2017/18","Historic score
Feat Scale
as of 2017/18","Average Odds
HomeWin 2018/19",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2018/19","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds
ALL","Back ""H""
if aggr. weighted
over Historic","WINS
Median Odds
ALL","SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spred odds",Higher Than Pinnacle,
Aachen,57,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,"-0,736","-0,705","-0,756","-0,420",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Augsburg,287,"1,36","3,30","2,55","2,93","0,29","2,35",,,,,"-3,19","-6,005","-3,175","-0,18","0,00","-3,18","1,13",14
Bayern Munich,792,"2,00","1,19","1,20","1,20","0,76","1,64",,,,,"-2,46","0,000","-2,48","2,52","0,00","-1,48","-1,7225",12
Bielefeld,237,"1,30","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Bochum,293,"1,37","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Braunschweig,56,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Cottbus,163,"1,21","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Darmstadt,92,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Dortmund,738,"1,93","1,55","1,41","1,48","0,82","1,62",,,,,"3,04","2,030","2,995","10,00","0,00","4,00","0,3925",10
Duisburg,96,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Ein Frankfurt,534,"1,67","2,24","2,00","2,12","0,47","2,00",,,,,"-1,90","-0,398","-1,875","2,13","0,00","-1,88",0,13
FC Koln,417,"1,53","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Fortuna Dusseldorf,65,"1,08","3,71","3,10","3,40","0,53","2,71",,,,,"11,49","10,038","11,67","15,67","0,00","13,67",-1,13
Freiburg,416,"1,53","3,44","2,76","3,10","0,35","2,17",,,,,"0,46","1,705","0,41","4,41","0,00","2,41",-1,13
Greuther Furth,56,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hamburg,667,"1,84","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hannover,608,"1,77","4,21","3,12","3,66","0,29","2,00",,,,,"-3,79","-3,793","-3,815","-2,82","0,00","-3,82",0,16
Hertha,590,"1,74","3,09","2,40","2,74","0,35","1,98",,,,,"2,10","3,258","2,125","6,13","-1,00","4,13",-1,13
Hoffenheim,429,"1,54","1,98","1,60","1,79","0,41","2,10",,,,,"-5,76","-1,615","-5,74","-2,74","0,00","-5,74",-2,14
Ingolstadt,96,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Kaiserslautern,242,"1,31","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Karlsruhe,96,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Leverkusen,724,"1,91","1,95","1,65","1,80","0,53","1,93",,,,,"0,76","1,450","0,815","5,82","0,00","0,81","-1,0425",12
Mainz,501,"1,63","3,56","2,87","3,21","0,47","2,11",,,,,"1,64","2,958","1,645","3,65","-1,00","3,65",0,15
Mgladbach,622,"1,79","2,16","1,76","1,96","0,53","1,86",,,,,"-3,86","-3,555","-3,855","-1,86","0,00","-2,86","-1,6225",15
Munich 1860,89,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Nurnberg,420,"1,53","4,45","3,43","3,94","0,18","2,24",,,,,"-9,51","-9,510","-9,5","-8,50","-1,00","-8,50","0,1125",16
