Team,"Historic Score 

as of 2020/21","Historic score
Feat Scale
as of 2020/21","Average Odds
HomeWin 2021/22",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2021/22","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
great Odds","BIG spread
spec. bets
using ""great Odds""",Small Spread Odds,Higher than Pinnacle,
Aachen,60,"1,06","0,00",#N/A,#N/A,#N/A,#N/A,"-0,787","-0,789","-0,783","-0,590",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Augsburg,397,"1,42","4,00","3,07","3,53","0,41","2,24",,,,,"15,49","16,915","15,64","18,49","13,81","17,49",-1,14
Bayern Munich,942,"2,00","1,21","1,18","1,20","0,76","1,55",,,,,"-1,64","0,000","-1,685","2,36",0,"-1,64","0,405",13
Bielefeld,283,"1,30","4,52","3,38","3,95","0,12","2,36",,,,,"-11,64","-10,643","-11,675","-7,64",-1,"-8,64",-1,13
Bochum,304,"1,32","3,80","3,10","3,45","0,47","2,31",,,,,"14,80","14,020","14,555","5,10","10,705","4,10",0,15
Braunschweig,59,"1,06","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Cottbus,166,"1,18","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Darmstadt,95,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Dortmund,884,"1,94","1,64","1,44","1,54","0,76","1,70",,,,,"-0,24","-3,000","-0,31","3,76",0,"0,76",-1,13
Duisburg,99,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Ein Frankfurt,666,"1,71","2,59","2,30","2,44","0,24","2,01",,,,,"-7,25","-3,245","-7,3","-5,25",-1,"-6,25",0,15
FC Koln,498,"1,53","2,72","2,38","2,55","0,53","2,09",,,,,"-0,21","0,840","-0,29","0,79",0,"0,79",-1,16
Fortuna Dusseldorf,141,"1,15","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Freiburg,538,"1,57","2,50","2,00","2,25","0,47","1,97",,,,,"1,76","1,188","1,72","3,76",0,"1,76","2,075",15
Greuther Furth,67,"1,07","5,86","4,65","5,25","0,18","2,69",,,,,"-4,58","-4,578","-4,515","-4,58",0,"-4,58",-2,17
Hamburg,670,"1,71","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hannover,644,"1,68","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hertha,708,"1,75","3,68","3,00","3,34","0,35","2,03",,,,,"3,02","3,023","2,865","5,02",-1,"4,02",-1,15
Hoffenheim,556,"1,59","2,34","2,00","2,17","0,47","2,04",,,,,"0,12","-0,095","0,035","1,12",0,"0,12",0,16
Ingolstadt,99,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Kaiserslautern,245,"1,26","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Karlsruhe,99,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Leverkusen,862,"1,92","2,02","1,72","1,87","0,59","1,78",,,,,"-0,85","-3,290","-0,87","3,16",0,"-0,85",0,13
Mainz,617,"1,65","2,79","2,10","2,45","0,59","2,03",,,,,"5,61","5,695","5,555","6,61",0,"6,61","1,9725",16
Mgladbach,758,"1,80","2,29","2,00","2,14","0,47","1,91",,,,,"0,68","1,305","0,65","1,68",0,"1,68",-1,16
Munich 1860,92,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Nurnberg,455,"1,48","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Paderborn,99,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
RB Leipzig,261,"1,28","1,59","1,50","1,55","0,65","2,21",,,,,"-0,67","-1,000","-0,735","0,33",0,"-0,67","-0,2575",16
Schalke 04,843,"1,89","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
St Pauli,59,"1,06","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Stuttgart,741,"1,79","3,10","2,45","2,78","0,35","2,00",,,,,"-4,10","-2,100","-4,19","-3,10",0,"-3,10",-1,16
Union Berlin,109,"1,12","2,76","2,43","2,59","0,59","2,39",,,,,"6,90","7,623","6,845","10,90",0,"7,90",0,13
Werder Bremen,808,"1,86","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Wolfsburg,800,"1,85","2,20","2,13","2,16","0,41","1,86",,,,,"-4,21","-2,980","-4,245","-3,21",0,"-3,21",0,16
Heidenheim,19,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
,,,,,,,,,,,,"13,00","19,68","12,05","39,30","21,52","16,30","-4,81","268,00"
