Team,"Historic Score 

as of 2021/22","Historic score
Feat Scale
as of 2021/22","Average Odds
HomeWin 2022/23",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2022/23","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
small-spread Odds","BIG spread
spec. bets
using ""great Odds""",Small Spread Odds,Higher than Pinnacle,
Aachen,61,"1,06","0,00",#N/A,#N/A,#N/A,#N/A,"-0,687","-0,732","-0,650","-0,323",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Augsburg,434,"1,44","4,15","3,20","3,67","0,35","2,25",,,,,"13,60","14,595","13,25","16,60","14,19","15,595","13,19","14,00"
Bayern Munich,992,"2,00","1,24","1,20","1,22","0,65","1,61",,,,,"-3,54","0,000","-3,58","-0,53","0,00","-3,535","0,00","14,00"
Bielefeld,317,"1,32","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Bochum,342,"1,34","4,02","3,10","3,56","0,47","2,41",,,,,"10,45","11,445","10,18","12,45","0,00","12,445","0,00","15,00"
Braunschweig,60,"1,06","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Cottbus,167,"1,17","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Darmstadt,96,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Dortmund,933,"1,94","1,70","1,50","1,60","0,82","1,72",,,,,"2,78","0,835","2,735","7,78","0,00","3,7825","0,00","12,00"
Duisburg,100,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Ein Frankfurt,706,"1,71","2,29","2,00","2,14","0,53","1,95",,,,,"2,39","6,913","2,28","3,39","0,00","3,385","0,00","16,00"
FC Koln,542,"1,55","2,79","2,40","2,59","0,35","2,18",,,,,"-5,22","-3,795","-5,235","-2,22","0,00","-3,2175","0,00","14,00"
Fortuna Dusseldorf,142,"1,14","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Freiburg,583,"1,59","2,37","2,00","2,19","0,59","2,00",,,,,"1,35","-2,933","1,295","2,35","0,00","1,3525","0,94","16,00"
Greuther Furth,100,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hamburg,671,"1,68","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hannover,645,"1,65","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hertha,743,"1,75","3,45","2,99","3,22","0,29","2,06",,,,,"-4,94","-5,690","-4,95","0,06","-1,00","-3,935","0,00","12,00"
Hoffenheim,598,"1,60","2,53","2,20","2,36","0,41","2,09",,,,,"-2,81","-3,855","-2,87","-1,81","0,00","-1,81","0,00","16,00"
Ingolstadt,100,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Kaiserslautern,246,"1,25","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Karlsruhe,100,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Leverkusen,910,"1,92","1,96","1,70","1,83","0,47","1,93",,,,,"0,51","5,505","0,435","0,51","0,00","0,5125","3,85","17,00"
Mainz,660,"1,67","2,39","2,15","2,27","0,35","2,02",,,,,"-1,98","0,503","-2,075","-1,98","0,00","-1,9825","4,28","17,00"
Mgladbach,799,"1,81","2,53","2,25","2,39","0,59","1,97",,,,,"8,30","10,785","8,15","10,30","0,00","9,3","0,00","15,00"
Munich 1860,93,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Nurnberg,456,"1,46","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Paderborn,100,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
RB Leipzig,308,"1,31","1,68","1,49","1,58","0,76","2,23",,,,,"3,04","-1,000","3,005","7,04","0,00","3,0425","0,00","13,00"
Schalke 04,852,"1,86","4,07","3,38","3,72","0,29","2,01",,,,,"-3,95","-3,950","-3,99","-2,95","-1,00","-2,95","0,00","16,00"
St Pauli,60,"1,06","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Stuttgart,777,"1,78","2,61","2,38","2,49","0,29","2,07",,,,,"-7,33","-6,585","-7,36","-4,33","0,00","-6,33","-0,19","14,00"
Union Berlin,155,"1,16","2,46","2,05","2,25","0,65","2,08",,,,,"5,81","8,133","5,68","8,81","-1,00","7,81","0,44","14,00"
Werder Bremen,817,"1,82","2,93","2,55","2,74","0,29","1,99",,,,,"-5,52","-5,158","-5,585","-0,52","0,00","-4,5175","-1,00","12,00"
Wolfsburg,839,"1,85","2,49","2,33","2,41","0,35","1,96",,,,,"-3,08","0,227","-3,115","-0,08","0,00","-1,0825","0,00","14,00"
Heidenheim,20,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
,,,,,,,,,,,,"9,86","25,98","8,25","54,87","11,19","27,87","21,50","261,00"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, ,,
