Rank,Jahr,Club
1,2002,Lyon
1,2003,Lyon
1,2004,Lyon
1,2005,Lyon
1,2006,Lyon
1,2007,Lyon
1,2008,Bordeaux
1,2009,Marseille
1,2010,Lille
1,2011,Montpellier
1,2012,Paris SG
1,2013,Paris SG
1,2014,Paris SG
1,2015,Paris SG
1,2016,Monaco
1,2017,Paris SG
1,2018,Paris SG
1,2019,Paris SG
1,2020,Lille
1,2021,Paris SG
1,2022,Paris SG
2,2002,Monaco
2,2003,Paris SG
2,2004,Lille
2,2005,Bordeaux
2,2006,Marseille
2,2007,Bordeaux
2,2008,Marseille
2,2009,Lyon
2,2010,Marseille
2,2011,Paris SG
2,2012,Marseille
2,2013,Monaco
2,2014,Lyon
2,2015,Lyon
2,2016,Paris SG
2,2017,Monaco
2,2018,Lille
2,2019,Lens
2,2020,Paris SG
2,2021,Marseille
2,2022,Lens
3,2002,Marseille
3,2003,Monaco
3,2004,Monaco
3,2005,Lille
3,2006,Toulouse
3,2007,Marseille
3,2008,Lyon
3,2009,Auxerre
3,2010,Lyon
3,2011,Lille
3,2012,Lyon
3,2013,Lille
3,2014,Monaco
3,2015,Monaco
3,2016,Nice
3,2017,Lyon
3,2018,Lyon
3,2019,Marseille
3,2020,Monaco
3,2021,Monaco
3,2022,Marseille
4,2002,Bordeaux
4,2003,Auxerre
4,2004,Rennes
4,2005,Lens
4,2006,Rennes
4,2007,Nancy
4,2008,Toulouse
4,2009,Lille
4,2010,Paris SG
4,2011,Lyon
4,2012,Nice
4,2013,St. Etienne
4,2014,Marseille
4,2015,Nice
4,2016,Lyon
4,2017,Marseille
4,2018,St. Etienne
4,2019,Rennes
4,2020,Lyon
4,2021,Rennes
4,2022,Rennes
5,2002,Sochaux
5,2003,Sochaux
5,2004,Marseille
5,2005,Marseille
5,2006,Lens
5,2007,St. Etienne
5,2008,Lille
5,2009,Montpellier
5,2010,Sochaux
5,2011,Bordeaux
5,2012,St. Etienne
5,2013,Lyon
5,2014,St. Etienne
5,2015,Lille
5,2016,Marseille
5,2017,Rennes
5,2018,Marseille
5,2019,Lille
5,2020,Marseille
5,2021,Nice
5,2022,Lille
6,2002,Auxerre
6,2003,Nantes
6,2004,St. Etienne
6,2005,Auxerre
6,2006,Bordeaux
6,2007,Rennes
6,2008,Paris SG
6,2009,Bordeaux
6,2010,Rennes
6,2011,Rennes
6,2012,Lille
6,2013,Marseille
6,2014,Bordeaux
6,2015,St. Etienne
6,2016,Bordeaux
6,2017,Bordeaux
6,2018,Montpellier
6,2019,Monaco
6,2020,Rennes
6,2021,Strasbourg
6,2022,Monaco
7,2002,Guingamp
7,2003,Marseille
7,2004,Lens
7,2005,Rennes
7,2006,Sochaux
7,2007,Lille
7,2008,Rennes
7,2009,Lorient
7,2010,Bordeaux
7,2011,St. Etienne
7,2012,Bordeaux
7,2013,Bordeaux
7,2014,Montpellier
7,2015,Caen
7,2016,Nantes
7,2017,St. Etienne
7,2018,Nice
7,2019,Lyon
7,2020,Lens
7,2021,Lens
7,2022,Lyon
8,2002,Lens
8,2003,Lens
8,2004,Auxerre
8,2005,Nice
8,2006,Auxerre
8,2007,Nice
8,2008,Auxerre
8,2009,Monaco
8,2010,Toulouse
8,2011,Toulouse
8,2012,Lorient
8,2013,Lorient
8,2014,Lille
8,2015,Rennes
8,2016,St. Etienne
8,2017,Nice
8,2018,Reims
8,2019,Clermont
8,2020,Montpellier
8,2021,Lyon
8,2022,Clermont
9,2002,Nantes
9,2003,Rennes
9,2004,Paris SG
9,2005,Paris SG
9,2006,Monaco
9,2007,Le Mans UC 72
9,2008,Nice
9,2009,Rennes
9,2010,Auxerre
9,2011,Gaillard
9,2012,Montpellier
9,2013,Toulouse
9,2014,Rennes
9,2015,Angers
9,2016,Rennes
9,2017,Nantes
9,2018,Nimes
9,2019,Nice
9,2020,Nice
9,2021,Nantes
9,2022,Nice
10,2002,Nice
10,2003,Lille
10,2004,Sochaux
10,2005,Monaco
10,2006,Lille
10,2007,Lorient
10,2008,Lorient
10,2009,Valenciennes
10,2010,St. Etienne
10,2011,Marseille
10,2012,Toulouse
10,2013,SC Bastia
