,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Lyon,Lyon,Lyon,Lyon,Lyon,Lyon,Bordeaux,Marseille,Lille,Montpellier,Paris SG,Paris SG,Paris SG,Paris SG,Monaco,Paris SG,Paris SG,Paris SG,Lille,Paris SG,Paris SG
2,Monaco,Paris SG,Lille,Bordeaux,Marseille,Bordeaux,Marseille,Lyon,Marseille,Paris SG,Marseille,Monaco,Lyon,Lyon,Paris SG,Monaco,Lille,Lens,Paris SG,Marseille,Lens
3,Marseille,Monaco,Monaco,Lille,Toulouse,Marseille,Lyon,Auxerre,Lyon,Lille,Lyon,Lille,Monaco,Monaco,Nice,Lyon,Lyon,Marseille,Monaco,Monaco,Marseille
4,Bordeaux,Auxerre,Rennes,Lens,Rennes,Nancy,Toulouse,Lille,Paris SG,Lyon,Nice,St. Etienne,Marseille,Nice,Lyon,Marseille,St. Etienne,Rennes,Lyon,Rennes,Rennes
5,Sochaux,Sochaux,Marseille,Marseille,Lens,St. Etienne,Lille,Montpellier,Sochaux,Bordeaux,St. Etienne,Lyon,St. Etienne,Lille,Marseille,Rennes,Marseille,Lille,Marseille,Nice,Lille
6,Auxerre,Nantes,St. Etienne,Auxerre,Bordeaux,Rennes,Paris SG,Bordeaux,Rennes,Rennes,Lille,Marseille,Bordeaux,St. Etienne,Bordeaux,Bordeaux,Montpellier,Monaco,Rennes,Strasbourg,Monaco
7,Guingamp,Marseille,Lens,Rennes,Sochaux,Lille,Rennes,Lorient,Bordeaux,St. Etienne,Bordeaux,Bordeaux,Montpellier,Caen,Nantes,St. Etienne,Nice,Lyon,Lens,Lens,Lyon
8,Lens,Lens,Auxerre,Nice,Auxerre,Nice,Auxerre,Monaco,Toulouse,Toulouse,Lorient,Lorient,Lille,Rennes,St. Etienne,Nice,Reims,Clermont,Montpellier,Lyon,Clermont
9,Nantes,Rennes,Paris SG,Paris SG,Monaco,Le Mans UC 72,Nice,Rennes,Auxerre,Gaillard,Montpellier,Toulouse,Rennes,Angers,Rennes,Nantes,Nimes,Nice,Nice,Nantes,Nice
10,Nice,Lille,Sochaux,Monaco,Lille,Lorient,Lorient,Valenciennes,St. Etienne,Marseille,Toulouse,SC Bastia,Guingamp,SC Bastia,Guingamp,Montpellier,Rennes,Lorient,Metz,Lille,Lorient
11,Paris SG,Nice,Strasbourg,Le Mans UC 72,St. Etienne,Caen,Monaco,Lens,Lorient,Nancy,Valenciennes,Reims,Nice,Bordeaux,Lille,Dijon,Strasbourg,Reims,St. Etienne,Brest,Reims
12,SC Bastia,Bordeaux,Nice,Nancy,Le Mans UC 72,Monaco,Valenciennes,Nancy,Valenciennes,Valenciennes,SC Bastia,Rennes,SC Bastia,Montpellier,Angers,Guingamp,Nantes,Montpellier,Bordeaux,Reims,Montpellier
13,Strasbourg,Strasbourg,Toulouse,St. Etienne,Nancy,Valenciennes,Grenoble,Paris SG,Nancy,Nice,Rennes,Nantes,Caen,Marseille,Toulouse,Amiens,Angers,Toulouse,Angers,Montpellier,Toulouse
14,Lille,Metz,Ajaccio,Nantes,Lorient,Sochaux,Sochaux,Toulouse,Montpellier,Sochaux,Reims,Gaillard,Nantes,Nantes,Metz,Angers,Bordeaux,Brest,Reims,Angers,Brest
15,Rennes,Ajaccio,Bordeaux,Sochaux,Paris SG,Auxerre,Nancy,Nice,Caen,Brest,Sochaux,Montpellier,Reims,Lorient,Montpellier,Strasbourg,Amiens,Strasbourg,Strasbourg,Troyes,Strasbourg
16,Montpellier,Toulouse,Metz,Toulouse,Nice,Paris SG,Le Mans UC 72,Sochaux,Brest,Ajaccio,Gaillard,Guingamp,Lorient,Guingamp,Dijon,Caen,Toulouse,Nantes,Lorient,Lorient,Nantes
17,Ajaccio,SC Bastia,Nantes,Troyes,Valenciennes,Toulouse,St. Etienne,St. Etienne,Nice,Lorient,Ajaccio,Nice,Toulouse,Toulouse,Caen,Lille,Monaco,Auxerre,Brest,Clermont,Auxerre
18,Le Havre,Guingamp,Caen,Ajaccio,Troyes,Lens,Caen,Le Mans UC 72,Monaco,Caen,Nancy,Sochaux,Gaillard,Reims,Lorient,Toulouse,Dijon,Ajaccio,Nantes,St. Etienne,Ajaccio
19,Sedan,Le Mans UC 72,SC Bastia,Strasbourg,Sedan,Strasbourg,Nantes,US Boulogne,Lens,Dijon,Troyes,Valenciennes,Metz,GFC Ajaccio,Nancy,Troyes,Caen,Troyes,Nimes,Metz,Troyes
20,Troyes,Montpellier,FC Istres,Metz,Nantes,Metz,Le Havre,Grenoble,Arles,Auxerre,Brest,Ajaccio,Lens,Troyes,SC Bastia,Metz,Guingamp,Angers,Dijon,Bordeaux,Angers
