Match ID,Matchday,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,"B365>2,5","B365<2,5","P>2,5","P<2,5","Max>2,5","Max<2,5","Avg>2,5","Avg<2,5",AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,"B365C>2,5","B365C<2,5","PC>2,5","PC<2,5","MaxC>2,5","MaxC<2,5","AvgC>2,5","AvgC<2,5",AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Historic,IF [ H ] w/Great Odds,"All Bets ""Great Odds""",If [ H ] weighted Odds,If [ H ] median Odds,If [ H ] small Spread,All small Spread,If [ H ] big spread,All big spread,Small Spread Odds,Higher than Pinnacle
0,,05/08/2022,20:00,Crystal Palace,Arsenal,0,2,A,0,1,A,A Taylor,10,10,2,2,16,11,3,5,1,2,0,0,"4,20","3,60","1,85","4,33","3,50","1,87","4,30","3,55","1,85","4,50","3,65","1,89","4,40","3,50","1,83","4,60","3,50","1,87","4,60","3,78","1,95","4,39","3,59","1,88","2,10","1,72","2,14","1,78","2,19","1,91","2,09","1,76","0,50","2,04","1,89","2,03","1,89","2,06","1,91","2,01","1,87","4,50","3,60","1,80","4,50","3,50","1,83","4,40","3,55","1,85","4,58","3,63","1,88","4,80","3,40","1,78","4,75","3,50","1,85","5,01","3,70","1,91","4,56","3,57","1,85","2,10","1,72","2,14","1,78","2,19","1,91","2,08","1,76","0,50","2,09","1,84","2,04","1,88","2,09","1,88","2,03","1,85","2,41",0,"4,38",0,0,"0,00","0,02","0,00","0,00","4,37",-1
1,,06/08/2022,12:30,Fulham,Liverpool,2,2,D,1,0,H,A Madley,9,11,3,4,7,9,4,4,2,0,0,0,"11,00","6,00","1,25","10,00","5,75","1,28","12,00","5,75","1,27","11,20","6,22","1,28","12,00","5,50","1,27","13,00","6,00","1,25","13,00","6,40","1,31","10,99","6,05","1,28","1,50","2,62","1,50","2,70","1,54","2,76","1,48","2,63","1,75","1,90","2,03","1,91","2,00","1,92","2,04","1,89","1,99","11,00","5,75","1,28","9,25","6,00","1,29","11,00","5,50","1,30","10,50","6,50","1,29","11,00","5,50","1,27","11,50","6,00","1,29","11,95","6,93","1,30","10,33","6,20","1,28","1,50","2,62","1,49","2,77","1,51","3,00","1,47","2,73","1,75","1,90","2,03","1,91","2,02","2,01","2,06","1,89","1,99","2,24",0,"11,30",0,0,"0,00","0,00","11,30","11,30",0,0
2,,06/08/2022,15:00,Bournemouth,Aston Villa,2,0,H,1,0,H,P Bankes,7,15,3,2,18,16,5,5,3,3,0,0,"3,75","3,50","2,00","3,75","3,40","2,00","3,65","3,45","2,05","3,93","3,58","2,04","3,75","3,30","2,05","3,75","3,30","2,00","4,00","3,66","2,10","3,80","3,50","2,04","2,00","1,80","2,10","1,81","2,10","1,87","2,03","1,80","0,50","1,87","2,06","1,88","2,04","1,88","2,07","1,85","2,04","4,00","3,50","1,95","3,90","3,40","1,95","3,85","3,45","2,00","4,09","3,59","2,00","4,00","3,40","1,95","4,10","3,40","2,00","4,25","3,63","2,06","3,99","3,49","2,00","2,10","1,72","2,13","1,79","2,24","1,81","2,10","1,76","0,50","1,93","2,00","1,93","2,00","1,94","2,04","1,88","2,00","2,40","3,78","3,78","3,78","3,75","3,75","0,05","0,00","0,00","3,75","2,78"
3,,06/08/2022,15:00,Leeds,Wolves,2,1,H,1,1,D,R Jones,12,15,4,6,13,9,6,4,2,0,0,0,"2,25","3,40","3,20","2,30","3,30","2,95","2,30","3,30","3,15","2,39","3,33","3,30","2,25","3,30","3,20","2,30","3,20","3,10","2,42","3,54","3,30","2,34","3,34","3,18","2,05","1,85","2,09","1,83","2,11","1,87","2,03","1,81","-0,25","2,05","1,88","2,04","1,89","2,06","1,90","2,01","1,87","2,37","3,30","3,00","2,40","3,30","2,75","2,45","3,30","2,95","2,45","3,44","3,09","2,40","3,30","2,90","2,40","3,40","3,00","2,50","3,55","3,18","2,43","3,36","3,02","1,95","1,95","1,96","1,94","2,09","1,96","1,96","1,87","-0,25","2,08","1,85","2,10","1,84","2,14","1,87","2,08","1,81","2,19","2,32","2,32","2,32","2,30","2,30","0,04","0,00","0,00","2,30","1,32"
4,,06/08/2022,15:00,Newcastle,Nottm Forest,2,0,H,0,0,D,S Hooper,23,5,10,0,9,14,11,1,0,3,0,0,"1,66","3,80","5,25","1,65","3,80","5,50","1,65","3,80","5,50","1,71","3,74","5,83","1,67","3,70","5,25","1,62","3,70","5,50","1,72","3,96","6,00","1,67","3,80","5,57","2,05","1,85","2,10","1,81","2,10","1,86","2,03","1,81","-0,75","1,87","2,06","1,92","2,01","1,92","2,08","1,86","2,02","1,53","4,00","6,00","1,58","3,90","6,00","1,63","3,80","6,00","1,57","4,22","6,60","1,53","3,90","6,50","1,57","3,90","7,00","1,67","4,30","7,00","1,59","4,07","6,15","1,94","1,96","1,97","1,93","2,06","1,97","1,94","1,89","-1,00","1,97","1,96","1,99","1,93","2,19","1,97","2,03","1,86","1,65","1,66","1,66","1,66","1,66","1,66","0,02","0,00","0,00","1,66","0,66"
5,,06/08/2022,15:00,Tottenham,Southampton,4,1,H,2,1,H,A Marriner,18,10,8,2,11,6,10,2,3,0,0,0,"1,33","5,50","8,50","1,35","5,25","8,25","1,37","5,25","7,75","1,37","5,39","9,11","1,35","5,00","8,50","1,33","5,00","9,00","1,40","5,50","9,20","1,36","5,27","8,64","1,61","2,30","1,65","2,37","1,65","2,48","1,61","2,34","-1,50","2,04","1,89","2,08","1,85","2,08","1,91","2,03","1,85","1,36","5,00","8,50","1,36","5,25","8,25","1,37","5,25","8,00","1,39","5,34","8,55","1,33","4,80","9,50","1,33","5,25","10,00","1,40","5,50","10,00","1,37","5,24","8,59","1,61","2,30","1,65","2,36","1,67","2,40","1,63","2,31","-1,50","2,07","1,86","2,04","1,88","2,08","1,88","2,03","1,85","1,75",0,0,"1,36","1,35","1,35","0,01","0,00","0,00","1,35","0,36"
6,,06/08/2022,17:30,Everton,Chelsea,0,1,A,0,1,A,C Pawson,8,15,4,6,14,11,4,16,3,2,0,0,"5,50","4,00","1,61","5,50","3,80","1,58","5,50","3,90","1,63","6,04","4,06","1,63","5,80","3,75","1,62","5,75","3,70","1,60","6,10","4,20","1,67","5,74","3,96","1,63","2,02","1,88","2,05","1,86","2,07","1,92","1,99","1,84","0,75","2,11","1,82","2,13","1,82","2,13","1,84","2,08","1,80","6,50","4,20","1,55","6,00","3,90","1,57","6,25","3,90","1,60","6,89","4,16","1,56","6,50","3,90","1,53","6,00","4,00","1,60","7,08","4,30","1,64","6,44","4,04","1,57","2,10","1,72","2,13","1,79","2,18","1,86","2,08","1,77","1,00","1,93","2,00","1,94","1,98","1,94","2,11","1,88","2,00","2,07",0,"5,68",0,0,"0,00","0,12","0,00","0,00","5,63",-1
7,,07/08/2022,14:00,Leicester,Brentford,2,2,D,1,0,H,J Gillett,14,8,5,3,6,5,5,6,0,0,0,0,"2,00","3,75","3,50","2,00","3,60","3,60","2,05","3,65","3,55","2,07","3,69","3,74","2,00","3,60","3,50","1,95","3,50","3,60","2,10","3,84","3,80","2,03","3,66","3,64","1,72","2,10","1,79","2,12","1,84","2,17","1,77","2,08","-0,50","2,04","1,89","2,07","1,87","2,07","1,91","2,02","1,86","1,85","3,80","4,00","1,88","3,60","4,00","1,95","3,65","3,90","1,96","3,69","4,29","1,88","3,60","4,00","1,91","3,60","4,20","2,01","3,88","4,40","1,92","3,66","4,08","1,94","1,96","1,90","2,01","1,96","2,07","1,86","1,97","-0,50","1,94","1,99","1,96","1,96","1,96","2,04","1,92","1,96","1,79",0,"2,02",0,0,"0,00","0,03","0,00","0,00","2,00",-1
8,,07/08/2022,14:00,Man United,Brighton,1,2,A,0,2,A,P Tierney,17,15,5,4,7,12,6,2,4,1,0,0,"1,60","4,20","5,25","1,62","3,90","5,50","1,60","4,00","5,75","1,65","4,14","5,68","1,60","3,90","5,50","1,57","3,80","5,75","1,66","4,22","6,12","1,62","4,01","5,68","1,92","1,98","1,90","2,00","1,95","2,00","1,89","1,93","-1,00","2,05","1,75","2,18","1,77","2,18","1,86","2,09","1,79","1,80","3,75","4,33","1,75","3,70","4,60","1,77","3,70","4,60","1,81","3,86","4,72","1,78","3,60","4,60","1,80","3,70","4,75","1,83","3,94","5,00","1,78","3,77","4,73","1,89","2,01","1,96","1,94","1,96","2,03","1,90","1,94","-0,75","2,06","1,87","2,05","1,88","2,08","1,97","2,00","1,88","1,62",0,0,0,0,"0,00","0,02","0,00","0,00","1,60",-1
9,,07/08/2022,16:30,West Ham,Man City,0,2,A,0,1,A,M Oliver,6,14,1,2,8,4,1,4,0,1,0,0,"8,00","5,00","1,36","7,75","5,00","1,38","7,50","5,25","1,37","8,58","5,48","1,38","9,00","5,00","1,33","8,50","5,00","1,33","9,60","5,60","1,41","8,32","5,25","1,37","1,53","2,50","1,56","2,59","1,62","2,61","1,54","2,47","1,50","1,86","2,07","1,88","2,05","1,90","2,10","1,84","2,04","7,50","5,25","1,36","7,50","5,00","1,38","7,50","5,00","1,40","8,00","5,35","1,41","8,00","5,00","1,36","8,50","5,25","1,36","8,50","5,55","1,42","7,90","5,27","1,39","1,50","2,62","1,52","2,67","1,54","2,82","1,50","2,62","1,50","1,85","2,08","1,85","2,08","2,00","2,12","1,85","2,04","2,14",0,"8,29",0,0,"0,00","0,07","0,00","0,00","8,25",-1
