Teams,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Aggregate bef. '22,,Aggregate bef. '23
Man United,1,3,3,2,1,1,1,2,1,2,1,7,4,5,6,2,6,3,2,6,3,677,"1,99",725
Arsenal,2,1,2,4,4,3,4,3,4,3,4,4,3,2,5,6,5,8,8,5,2,662,"1,97",711
Chelsea,4,2,1,1,2,2,3,1,2,6,3,3,1,10,1,5,3,4,4,3,12,686,"2,00",725
Man City,9,16,8,15,14,9,10,5,3,1,2,1,2,4,3,1,1,2,1,1,1,613,"1,89",663
Leicester,22,18,22,22,22,22,22,22,22,22,22,22,14,1,12,9,9,5,5,8,18,249,"1,36",282
Liverpool,5,4,5,3,3,4,2,7,6,8,7,2,6,8,4,4,2,1,3,2,5,619,"1,90",665
Tottenham,10,14,9,5,5,11,8,4,5,4,5,6,5,3,2,3,4,6,7,4,8,633,"1,92",676
Newcastle,3,5,14,7,13,12,18,22,12,5,16,10,15,18,22,10,13,13,12,11,4,415,"1,60",462
Everton,7,17,4,11,6,5,5,8,7,7,6,5,11,11,7,8,8,12,10,16,17,595,"1,87",629
Blackburn,6,15,15,6,10,7,15,10,15,19,22,22,22,22,22,22,22,22,22,22,22,221,"1,32",222
Aston Villa,16,6,10,16,11,6,6,6,9,16,15,15,17,20,22,22,22,17,11,14,7,500,"1,73",544
Bolton,17,8,6,8,7,16,13,14,14,18,22,22,22,22,22,22,22,22,22,22,22,213,"1,31",214
Southampton,8,12,20,22,22,22,22,22,22,22,14,8,7,6,8,17,16,11,15,15,20,310,"1,45",341
West Ham,18,22,22,9,15,10,9,17,20,22,10,13,12,7,11,13,10,16,6,7,14,450,"1,66",487
Brighton,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,17,15,16,9,6,162,"1,24",207
Charlton,12,7,11,13,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,99,"1,14",100
Middlesbrough,11,11,7,14,12,13,19,22,22,22,22,22,22,22,19,22,22,22,22,22,22,169,"1,25",170
Fulham,14,9,13,12,16,17,7,12,8,9,12,19,22,22,22,22,19,22,18,22,10,362,"1,53",403
Burnley,22,22,22,22,22,22,22,18,22,22,22,22,19,22,16,7,15,10,17,18,22,267,"1,39",268
Wolves,22,20,22,22,22,22,22,15,17,20,22,22,22,22,22,22,7,7,13,10,13,257,"1,37",295
Reading,22,22,22,22,8,18,22,22,22,22,19,22,22,22,22,22,22,22,22,22,22,91,"1,13",92
Portsmouth,22,13,16,17,9,8,14,20,22,22,22,22,22,22,22,22,22,22,22,22,22,151,"1,22",152
West Brom,19,22,17,19,22,22,20,22,11,10,8,17,13,14,10,20,22,22,19,22,22,303,"1,44",304
Swansea,22,22,22,22,22,22,22,22,22,11,9,12,8,12,15,18,22,22,22,22,22,178,"1,26",179
Birmingham,13,10,12,18,22,19,22,9,18,22,22,22,22,22,22,22,22,22,22,22,22,159,"1,23",160
Stoke,22,22,22,22,22,22,12,11,13,14,13,9,9,9,13,19,22,22,22,22,22,305,"1,45",306
Bournemouth,22,22,22,22,22,22,22,22,22,22,22,22,22,16,9,12,14,18,22,22,15,159,"1,23",195
Sheffield U.,22,22,22,22,18,22,22,22,22,22,22,22,22,22,22,22,22,9,20,22,22,106,"1,15",107
Leeds,15,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,9,17,19,109,"1,16",141
Brentford,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,13,9,56,"1,08",98
Wigan,22,22,22,10,17,14,11,16,16,15,18,22,22,22,22,22,22,22,22,22,22,191,"1,28",192
Sunderland,20,22,22,20,22,15,16,13,10,13,17,14,16,17,20,22,22,22,22,22,22,308,"1,45",309
Crystal Palace,22,22,18,22,22,22,22,22,22,22,22,11,10,15,14,11,12,14,14,12,11,268,"1,39",308
Norwich,22,22,19,22,22,22,22,22,22,12,11,18,22,19,22,22,22,20,22,20,22,206,"1,30",207
Watford,22,22,22,22,20,22,22,22,22,22,22,22,22,13,17,14,11,19,22,19,22,209,"1,30",210
Hull,22,22,22,22,22,22,17,19,22,22,22,16,18,22,18,22,22,22,22,22,22,152,"1,22",153
Huddersfield,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,20,22,22,22,22,80,"1,12",81
Nottm Forest,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,28,"1,04",63
QPR,22,22,22,22,22,22,22,22,22,17,20,22,20,22,22,22,22,22,22,22,22,97,"1,14",98
Cardiff,22,22,22,22,22,22,22,22,22,22,22,20,22,22,22,22,18,22,22,22,22,82,"1,12",83
Blackpool,22,22,22,22,22,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,22,44,"1,06",45
Derby,22,22,22,22,22,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,43,"1,06",44
