Match ID,Matchday,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,"B365>2,5","B365<2,5","P>2,5","P<2,5","Max>2,5","Max<2,5","Avg>2,5","Avg<2,5",AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,"B365C>2,5","B365C<2,5","PC>2,5","PC<2,5","MaxC>2,5","MaxC<2,5","AvgC>2,5","AvgC<2,5",AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Historic,IF [ H ] w/Great Odds,"All Bets ""Great Odds""",If [ H ] weighted Odds,If [ H ] median Odds,If [ H ] small Spread,All small Spread,If [ H ] big spread,All big spread,Small Spread Odds,Higher Than Pinnacle
0,,13/08/2022,17:30,Milan,Udinese,4,2,H,2,2,D,14,9,5,4,16,13,5,1,1,4,0,0,,"1,44","4,75","7,00","1,41","4,75","7,50","1,40","4,80","8,50","1,43","4,66","8,84","1,38","4,60","8,50","1,36","4,60","9,00","1,46","5,10","9,00","1,41","4,75","8,14","1,72","2,10","1,77","2,16","1,82","2,21","1,73","2,14","-1,25","1,94","1,96","1,98","1,94","1,98","2,01","1,92","1,94","1,44","4,75","6,50","1,47","4,50","6,50","1,45","4,50","7,25","1,47","4,94","7,12","1,47","4,33","7,00","1,45","4,60","5,75","1,54","5,05","7,50","1,48","4,58","6,71","1,66","2,20","1,74","2,21","1,82","2,28","1,72","2,16","-1,25","1,98","1,92","2,02","1,91","2,17","1,94","2,06","1,81","1,89",0,0,"1,41","1,41","1,41","0,01",0,0,"1,41","0,41"
1,,13/08/2022,17:30,Sampdoria,Atalanta,0,2,A,0,1,A,11,9,1,3,13,21,3,2,4,6,0,0,,"4,33","3,90","1,75","4,33","3,80","1,77","4,30","3,90","1,80","4,72","3,98","1,78","4,50","3,80","1,73","4,75","3,70","1,73","4,75","4,12","1,84","4,45","3,91","1,77","1,72","2,10","1,73","2,22","1,76","2,26","1,69","2,18","0,75","1,90","2,00","1,93","1,99","1,93","2,02","1,88","1,97","5,25","4,00","1,61","4,80","3,90","1,68","4,80","3,80","1,73","5,60","4,13","1,66","5,50","3,80","1,62","5,75","4,00","1,57","5,75","4,30","1,73","5,29","4,06","1,64","1,66","2,20","1,69","2,29","1,73","2,35","1,67","2,24","0,75","2,07","1,83","2,11","1,82","2,13","1,87","2,06","1,82","1,90",0,"4,43",0,0,0,"0,04",0,0,"4,42",-1
2,,13/08/2022,19:45,Lecce,Inter,1,2,A,0,1,A,10,19,4,9,21,19,6,8,4,2,0,0,,"10,00","5,75","1,28","9,75","5,50","1,30","9,50","5,75","1,30","10,75","5,92","1,31","11,00","5,50","1,27","12,00","5,50","1,25","12,00","6,15","1,33","10,22","5,67","1,30","1,57","2,37","1,61","2,46","1,65","2,46","1,60","2,37","1,50","2,01","1,89","2,07","1,86","2,07","1,92","2,00","1,87","8,00","5,25","1,36","9,75","5,50","1,30","7,75","5,50","1,37","8,66","5,55","1,37","9,00","5,00","1,33","10,00","5,50","1,30","10,00","5,70","1,38","8,53","5,41","1,35","1,53","2,50","1,55","2,60","1,58","2,70","1,52","2,55","1,50","1,90","2,00","1,91","2,02","1,96","2,06","1,89","1,97","2,56",0,"10,30",0,0,0,"0,15",0,0,"10,38",-1
3,,13/08/2022,19:45,Monza,Torino,1,2,A,0,1,A,15,13,4,6,6,17,2,7,1,2,0,0,,"2,60","3,30","2,75","2,55","3,25","2,80","2,60","3,30","2,80","2,64","3,36","2,90","2,50","3,25","2,80","2,55","3,10","2,88","2,68","3,48","2,94","2,58","3,29","2,84","2,10","1,72","2,09","1,83","2,21","1,84","2,09","1,76","0,00","1,84","2,06","1,87","2,06","1,87","2,08","1,84","2,04","2,55","3,10","2,90","2,60","3,20","2,75","2,55","3,20","2,85","2,56","3,30","3,05","2,55","3,10","2,88","2,55","3,10","2,90","2,81","3,38","3,05","2,57","3,22","2,90","2,10","1,72","2,10","1,81","2,19","1,83","2,10","1,75","0,00","1,79","2,11","1,80","2,15","1,88","2,16","1,83","2,06","2,40",0,"2,58",0,0,0,"0,00",0,0,"2,58",-1
4,,14/08/2022,17:30,Fiorentina,Cremonese,3,2,H,2,1,H,27,13,11,4,10,19,11,4,0,3,0,1,,"1,36","5,00","8,50","1,39","4,80","7,75","1,40","5,00","7,50","1,39","5,33","8,49","1,36","4,60","9,00","1,33","4,80","9,50","1,42","5,40","9,50","1,38","5,02","8,16","1,66","2,20","1,63","2,40","1,70","2,40","1,63","2,25","-1,25","1,85","2,05","1,85","2,08","1,88","2,08","1,85","2,02","1,60","4,20","5,25","1,58","4,10","5,50","1,63","4,20","5,25","1,62","4,35","5,64","1,57","4,00","5,80","1,57","4,10","5,75","1,64","4,75","6,50","1,59","4,22","5,62","1,80","2,00","1,82","2,09","1,82","2,20","1,77","2,09","-1,00","2,02","1,88","2,06","1,87","2,07","1,97","1,99","1,87","1,57",0,0,"1,38","1,38","1,38","0,00",0,0,"1,38","0,38"
5,,14/08/2022,17:30,Lazio,Bologna,2,1,H,0,1,A,9,11,6,3,11,18,3,2,2,6,1,1,,"1,57","4,33","5,75","1,55","4,33","5,25","1,57","4,40","5,50","1,62","4,29","5,70","1,55","4,20","5,80","1,53","4,10","6,00","1,66","4,54","6,00","1,58","4,30","5,49","1,66","2,20","1,69","2,29","1,71","2,35","1,65","2,26","-1,00","2,00","1,90","2,02","1,90","2,03","1,93","1,97","1,89","1,70","4,00","4,75","1,68","4,00","4,60","1,70","3,95","4,70","1,74","3,98","5,09","1,70","3,80","4,80","1,67","3,90","5,00","1,75","4,20","5,14","1,71","4,01","4,78","1,61","2,30","1,67","2,32","1,73","2,38","1,65","2,27","-0,75","1,90","2,00","1,93","2,00","1,93","2,06","1,88","1,99","1,90",0,0,"1,57","1,56","1,56","0,02",0,0,"1,56","0,57"
6,,14/08/2022,19:45,Salernitana,Roma,0,1,A,0,1,A,13,20,2,5,18,9,4,2,3,2,0,0,,"6,50","4,75","1,44","6,25","4,50","1,49","6,50","4,50","1,47","6,65","4,79","1,50","6,50","4,20","1,50","6,50","4,50","1,45","6,80","4,80","1,53","6,42","4,57","1,49","1,72","2,10","1,82","2,09","1,83","2,15","1,77","2,08","1,00","2,17","1,75","2,11","1,83","2,17","1,85","2,06","1,81","6,00","4,75","1,50","6,25","4,40","1,50","6,75","4,70","1,45","7,48","4,74","1,47","6,00","4,60","1,44","7,00","4,50","1,44","7,60","5,00","1,52","6,84","4,61","1,47","1,72","2,10","1,78","2,15","1,81","2,23","1,76","2,10","1,25","1,73","2,08","1,88","2,05","1,90","2,19","1,83","2,04","2,76",0,"6,46",0,0,0,"0,08",0,0,"6,50",-1
7,,14/08/2022,19:45,Spezia,Empoli,1,0,H,1,0,H,9,18,2,5,15,8,6,4,2,1,0,0,,"2,45","3,30","2,90","2,45","3,30","2,87","2,50","3,35","2,85","2,61","3,26","3,01","2,40","3,40","2,80","2,40","3,20","3,00","2,61","3,62","3,01","2,49","3,33","2,91","1,94","1,96","1,94","1,96","1,99","2,00","1,90","1,92","0,00","1,80","2,10","1,83","2,12","1,83","2,14","1,78","2,10","2,40","3,40","2,87","2,40","3,40","2,85","2,45","3,45","2,85","2,50","3,45","3,02","2,40","3,30","2,90","2,40","3,30","3,00","2,56","3,55","3,02","2,45","3,43","2,91","1,80","2,00","1,81","2,10","1,90","2,16","1,78","2,06","-0,25","2,13","1,78","2,15","1,81","2,16","1,81","2,11","1,78","2,22","2,47","2,47","2,47","2,45","2,45","0,04",0,0,"2,45","1,47"
8,,15/08/2022,17:30,Hellas,Napoli,2,5,A,1,2,A,6,25,3,8,15,6,4,8,2,2,0,0,,"3,50","3,50","2,05","3,30","3,50","2,10","3,40","3,50","2,10","3,65","3,66","2,10","3,50","3,60","2,00","3,50","3,40","2,10","3,66","3,80","2,20","3,46","3,58","2,10","1,80","2,00","1,87","2,04","1,86","2,13","1,78","2,05","0,25","2,02","1,77","2,11","1,81","2,11","1,85","2,05","1,81","3,60","3,60","2,00","3,60","3,60","2,00","3,70","3,60","1,97","3,91","3,64","2,03","4,00","3,60","1,88","3,80","3,50","2,00","4,00","3,92","2,08","3,73","3,63","2,00","1,72","2,10","1,77","2,15","1,79","2,26","1,74","2,12","0,50","1,84","2,06","1,89","2,03","1,90","2,09","1,86","2,01","2,35",0,"3,48",0,0,0,"0,04",0,0,"3,50",-1
9,,15/08/2022,19:45,Juventus,Sassuolo,3,0,H,2,0,H,14,19,4,7,7,5,3,2,1,3,0,0,,"1,44","4,75","7,00","1,44","4,80","6,50","1,45","4,90","6,25","1,50","4,83","6,61","1,42","4,60","7,00","1,40","4,75","7,50","1,50","5,20","7,50","1,46","4,81","6,65","1,53","2,50","1,57","2,54","1,57","2,60","1,52","2,52","-1,25","1,99","1,91","2,04","1,88","2,04","1,95","1,96","1,90","1,45","4,75","6,50","1,47","4,75","6,25","1,45","4,60","7,00","1,51","4,86","6,46","1,47","4,60","6,00","1,45","4,80","6,00","1,52","5,15","7,00","1,48","4,78","6,35","1,53","2,50","1,57","2,54","1,58","2,60","1,53","2,52","-1,25","1,99","1,91","2,03","1,90","2,07","1,94","1,99","1,87","1,75",0,0,"1,45","1,44","1,44","0,02",0,0,"1,44","0,45"
