Teams,Real chance of winning,"WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
small-spread Odds","BIG spread
spec. bets
using ""great Odds""",Small Spread Odds,Higher Than Pinnacle
Inter,"0,70","1,11","1,10","1,06","5,06","0,00","2,06","1,5625"
Juventus,"0,65","1,74","-1,00","1,65","5,65","0,00","2,65","2,7375"
Milan,"0,65","0,98","5,62","2,31","7,31","0,00","3,31","4,17"
Napoli,"0,70","1,87","1,84","1,85","7,85","0,00","2,85","3,0375"
Roma,"0,55","-1,40","-2,37","-1,44","6,56","0,00","-0,44","-0,835"
Lazio,"0,55","3,25","5,37","3,14","6,14","0,00","4,14","4,0225"
Udinese,"0,30","-2,79","0,68","-2,81","-0,81","0,00","-1,81","-2,3175"
Atalanta,"0,50","-3,71","-2,69","-3,78","-0,78","0,00","-2,78","-2,71"
Chievo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fiorentina,"0,45","-5,15","-3,41","-3,83","-1,83","0,00","-2,83","-2,7725"
Sampdoria,"0,05","-17,02","-16,02","-17,05","-14,05","0,00","-15,05","-16,02"
Palermo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Genoa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Livorno,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Parma,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sassuolo,"0,40","-3,27","-2,72","-1,51","-0,51","0,00","-0,51","0,525"
Lecce,"0,15","-9,13","-6,13","-9,18","-7,18","0,00","-8,18","-8,1325"
Messina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Empoli,"0,40","2,86","2,63","2,82","3,82","0,00","3,82","3,8625"
Torino,"0,25","-8,38","-2,72","-8,43","-5,43","0,00","-7,43","-6,375"
Bologna,"0,35","-0,41","1,59","-0,50","3,50","0,00","0,50","-3,33"
Catania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Frosinone,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cagliari,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hellas,"0,30","-6,22","-5,27","-6,27","-4,27","0,00","-5,27","-5,2175"
Ascoli,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bari,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Monza,"0,35","1,11","2,90","1,05","3,05","0,00","2,05","3,1125"
Reggina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Siena,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SPAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cesena,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spezia,"0,20","-5,49","-2,02","-3,09","-1,09","0,00","-1,09","-2,0175"
Salernitana,"0,35","-1,35","0,65","1,02","3,02","0,00","2,02","4,11"
Crotone,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carpi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Benevento,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brescia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Treviso,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Novara,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cremonese,"0,20","-7,26","-5,26","-7,28","-3,28","-1,00","-5,28","-5,2625"
Pescara,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Venedig,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,"-58,65","-27,24","-50,27","12,74","-1,00","-27,27","-27,85"
