,,Date,,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,CurrentRankHT,CurrentRankAT,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,"BbMx>2,5","BbAv>2,5","BbMx<2,5","BbAv<2,5",BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Historic,IF [ H ] w/Great Odds,"All Bets ""Great Odds""",If [ H ] weighted Odds,If [ H ] median Odds,If [ H ] small Spread,All small Spread,If [ H ] big spread,All big spread,All Small Spread,"Weighted to Median
(Nearest)",,"If Higher than
Pinnacle","Weighted to Median
(Nearest) Relative"
0,1,24/08/2018,,Bayern Munich,Hoffenheim,3,1,H,1,0,H,16,8,5,5,2,21,7,2,1,4,0,0,#N/A,#N/A,"1,20","7,50","12,00","1,20","7,50","11,50","1,30","5,80","9,00","1,20","7,86","14,90","1,17","8,00","13,00","1,20","7,50","15,00","40,00","1,30","1,20","8,08","7,37","15,00","13,26","34,00","1,33","1,40","3,30","3,55","22,00","-2,00","1,92","1,87","2,05","1,99","1,23","7,15","14,10",,,,,,,,,,,,,,
1,1,25/08/2018,,Fortuna Dusseldorf,Augsburg,1,2,A,1,0,H,9,14,5,7,11,10,7,5,1,0,0,0,#N/A,#N/A,"2,37","3,25","3,00","2,40","3,30","3,00","2,40","3,30","2,95","2,51","3,32","3,06","2,45","3,25","2,90","2,50","3,30","3,00","41,00","2,65","2,47","3,36","3,24","3,13","2,97","38,00","2,13","2,05","1,84","1,76","20,00","0,00","1,80","1,76","2,17","2,11","2,74","3,33","2,78",,,,,,,,,,,,,,
2,1,25/08/2018,,Freiburg,Ein Frankfurt,0,2,A,0,1,A,22,10,6,2,7,12,6,4,1,2,0,0,#N/A,#N/A,"2,30","3,30","3,25","2,35","3,20","3,20","2,40","3,30","2,95","2,34","3,40","3,28","2,25","3,30","3,20","2,38","3,30","3,20","41,00","2,45","2,34","3,40","3,25","3,31","3,19","38,00","2,23","2,15","1,75","1,69","20,00","-0,25","2,02","1,99","1,92","1,88","2,52","3,30","3,07",,,,,,,,,,,,,,
3,1,25/08/2018,,Hertha,Nurnberg,1,0,H,1,0,H,10,12,3,3,13,10,8,4,2,2,0,0,#N/A,#N/A,"2,04","3,40","3,75","2,05","3,40","3,70","2,10","3,40","3,50","2,05","3,43","4,06","2,05","3,40","3,60","2,05","3,40","3,80","40,00","2,10","2,04","3,49","3,37","4,06","3,83","37,00","2,12","2,05","1,83","1,76","20,00","-0,25","1,78","1,74","2,21","2,14","1,79","3,61","5,21",,,,,,,,,,,,,,
4,1,25/08/2018,,Mgladbach,Leverkusen,2,0,H,0,0,D,17,13,7,3,10,10,9,5,1,2,0,0,#N/A,#N/A,"2,80","3,50","2,45","2,85","3,50","2,40","2,80","3,40","2,50","2,89","3,69","2,47","2,62","3,70","2,45","2,80","3,70","2,40","41,00","2,96","2,82","3,72","3,55","2,52","2,42","37,00","1,64","1,60","2,50","2,32","20,00","0,00","2,13","2,07","1,84","1,78","2,63","3,70","2,69",,,,,,,,,,,,,,
5,1,25/08/2018,,Werder Bremen,Hannover,1,1,D,0,0,D,15,13,3,4,5,6,4,3,0,0,0,0,#N/A,#N/A,"1,85","3,60","4,00","1,87","3,75","4,00","1,90","3,50","4,10","1,93","3,79","4,10","1,85","3,60","4,00","1,90","3,80","4,00","41,00","1,97","1,90","3,85","3,68","4,12","3,95","38,00","1,76","1,71","2,22","2,12","20,00","-1,00","2,88","2,65","1,55","1,49","1,74","4,21","4,71",,,,,,,,,,,,,,
6,1,25/08/2018,,Wolfsburg,Schalke 04,2,1,H,1,0,H,11,9,7,4,16,11,7,2,5,3,0,1,#N/A,#N/A,"3,10","3,30","2,37","3,00","3,30","2,40","2,85","3,30","2,50","3,36","3,25","2,37","3,20","3,20","2,30","3,20","3,30","2,38","41,00","3,39","3,19","3,35","3,21","2,50","2,36","38,00","2,27","2,17","1,75","1,68","20,00","0,25","1,90","1,86","2,04","2,00","3,23","3,20","2,48",,,,,,,,,,,,,,
7,1,26/08/2018,,Dortmund,RB Leipzig,4,1,H,3,1,H,10,10,5,7,8,11,7,9,2,2,0,0,#N/A,#N/A,"1,72","3,80","4,75","1,75","3,80","4,60","1,80","3,60","4,50","1,79","4,05","4,57","1,75","4,00","4,20","1,80","4,00","4,30","41,00","1,81","1,76","4,13","3,92","4,75","4,45","36,00","1,58","1,53","2,57","2,46","22,00","-1,00","2,41","2,30","1,70","1,64","1,74","4,11","4,77",,,,,,,,,,,,,,
8,1,26/08/2018,,Mainz,Stuttgart,1,0,H,0,0,D,8,12,3,3,15,6,6,3,1,2,0,0,#N/A,#N/A,"2,70","3,25","2,70","2,80","3,25","2,60","2,65","3,30","2,65","2,92","3,22","2,67","2,75","3,20","2,62","2,75","3,25","2,70","41,00","2,92","2,76","3,31","3,18","2,80","2,67","38,00","2,24","2,12","1,77","1,71","20,00","0,00","2,02","1,95","1,95","1,90","2,93","3,28","2,63",,,,,,,,,,,,,,
9,2,31/08/2018,,Hannover,Dortmund,0,0,D,0,0,D,7,8,0,3,11,5,4,1,0,0,0,0,10,1,"5,50","4,33","1,57","5,50","4,33","1,57","5,50","4,00","1,60","5,44","4,25","1,65","4,80","4,33","1,62","5,20","4,40","1,62","36,00","5,65","5,34","4,50","4,26","1,65","1,60","35,00","1,61","1,56","2,49","2,40","20,00","1,00","1,89","1,84","2,08","2,01","5,25","4,16","1,68","2,17","0,00","5,41","0,00","0,00","0,00","0,13","0,00","0,00","5,47","5,44",,"0,00","100,65%"
10,2,01/09/2018,,Augsburg,Mgladbach,1,1,D,1,0,H,18,7,7,2,12,12,9,4,1,2,0,0,5,4,"2,62","3,40","2,70","2,65","3,40","2,65","2,65","3,40","2,65","2,64","3,41","2,83","2,60","3,40","2,62","2,63","3,40","2,75","38,00","2,78","2,63","3,45","3,34","2,87","2,73","37,00","1,97","1,88","1,98","1,92","20,00","0,00","1,94","1,90","2,01","1,96","2,65","3,52","2,75","2,30","0,00","2,63","0,00","0,00","0,00","0,00","0,00","0,00","2,64","2,63",,"0,00","99,91%"
11,2,01/09/2018,,Ein Frankfurt,Werder Bremen,1,2,A,0,1,A,5,11,1,6,6,11,8,3,1,2,1,0,3,9,"2,40","3,50","2,90","2,45","3,40","2,85","2,30","3,30","3,15","2,47","3,47","2,97","2,45","3,30","2,88","2,40","3,50","3,00","37,00","2,52","2,42","3,50","3,40","3,15","2,94","36,00","1,91","1,86","2,03","1,94","18,00","-0,25","2,13","2,08","1,84","1,81","2,42","3,53","3,03","2,13","0,00","2,42","0,00","0,00","0,00","0,00","0,00","0,00","2,43","2,40",,"0,00","99,07%"
12,2,01/09/2018,,Hoffenheim,Freiburg,3,1,H,0,1,A,20,9,7,4,13,14,6,4,1,2,0,0,15,16,"1,55","4,00","6,50","1,60","4,10","5,50","1,60","4,20","5,30","1,60","4,19","6,14","1,60","4,20","5,00","1,62","4,20","5,50","39,00","1,63","1,59","4,33","4,12","6,50","5,71","37,00","1,72","1,66","2,29","2,22","23,00","-1,00","2,03","1,98","1,91","1,87","1,52","4,59","6,60","1,97","0,00","0,00","1,60","1,60","1,60","0,01","0,00","0,00","1,60","0,00",,"0,00",#N/A
