Team,"Historic Score 

as of 2014/15","Historic score
Feat Scale
as of 2014/15","Average Odds
HomeWin 2015/16",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2015/16","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Aachen,54,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,"-0,879","-0,880","-0,873","-0,695",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Augsburg,171,"1,27","3,18","2,30","2,74","0,18","2,45",,,,,"-9,89","-5,880","-9,87","-4,87","-2,00","-6,87","0,00","12,00"
Bayern Munich,642,"2,00","1,17","1,12","1,14","0,88","1,57",,,,,"-0,68","0,000","-0,61","4,39","0,00","0,39","0,00","12,00"
Bielefeld,234,"1,36","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Bochum,290,"1,45","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Braunschweig,53,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Cottbus,160,"1,25","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Darmstadt,21,"1,03","4,30","3,00","3,65","0,12","2,72",,,,,"-11,80","-10,415","-11,77","-6,77","-2,00","-8,77","0,00","12,00"
Dortmund,594,"1,93","1,40","1,25","1,33","0,82","1,70",,,,,"-0,42","-0,255","-0,35","4,65","0,00","0,65","0,00","12,00"
Duisburg,93,"1,14","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Ein Frankfurt,416,"1,65","3,58","2,44","3,01","0,35","2,09",,,,,"2,58","2,740","2,68","4,68","-1,00","3,68","0,23","15,00"
FC Koln,296,"1,46","3,09","2,20","2,65","0,29","2,20",,,,,"-2,36","-1,085","-2,36","1,64","0,00","-1,36","-1,00","13,00"
Fortuna Dusseldorf,54,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Freiburg,327,"1,51","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
