Teams,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Aggregate bef. '22,FeatuerScaledAggr,Aggregate bef. '23
Real Madrid,1,4,2,2,1,1,2,2,2,1,2,3,2,2,1,3,3,1,2,1,2,677,"1,99",726
Valencia,5,1,7,3,4,10,6,3,3,3,5,8,4,12,12,4,4,9,13,9,16,655,"1,95",690
Barcelona,6,2,1,1,2,3,1,1,1,2,1,2,1,1,2,1,1,2,3,2,1,686,"2,00",736
Ath Madrid,12,7,12,10,7,4,4,9,7,5,3,1,3,3,3,2,2,3,1,3,3,584,"1,85",632
Sociedad,2,15,14,16,19,22,22,22,15,12,4,7,12,9,6,12,9,6,5,6,4,380,"1,55",427
Villarreal,15,8,3,7,5,2,5,7,4,18,22,6,6,4,5,5,14,5,7,7,5,588,"1,86",634
La Coruna,3,3,8,8,13,9,7,10,18,22,19,22,16,15,16,18,22,22,22,22,22,379,"1,55",380
FC Sevilla,10,6,6,5,3,5,3,4,5,9,9,5,5,7,4,7,6,4,4,4,12,645,"1,94",684
Celta,4,19,22,6,18,22,22,22,22,22,17,9,8,6,13,13,17,17,8,11,13,342,"1,50",380
Betis,8,9,4,14,16,13,18,22,22,13,7,20,22,10,15,6,10,15,6,5,6,393,"1,57",438
Osasuna,11,13,15,4,14,17,16,12,9,7,16,18,22,22,19,22,22,10,11,10,7,421,"1,61",465
Malaga,13,10,10,20,22,22,8,17,11,4,6,11,9,8,11,20,22,22,22,22,22,328,"1,48",329
Ath Bilbao,7,5,9,12,17,11,13,8,6,10,12,4,7,5,7,16,8,11,10,8,8,584,"1,85",627
Espanol,17,16,5,15,11,12,10,11,8,14,13,14,10,13,8,11,7,20,22,14,19,517,"1,75",549
Mallorca,9,11,17,13,12,7,9,5,17,8,18,22,22,22,22,22,22,19,22,16,9,364,"1,53",406
Getafe,22,22,13,9,9,14,17,6,16,11,10,13,15,19,22,8,5,8,15,15,15,552,"1,80",588
Saragossa,22,12,11,11,6,18,22,14,13,16,20,22,22,22,22,22,22,22,22,22,22,214,"1,31",215
Santander,16,17,16,17,10,6,12,16,12,20,22,22,22,22,22,22,22,22,22,22,22,202,"1,29",203
Levante,22,22,18,22,15,20,22,22,14,6,11,10,14,20,22,15,15,12,14,19,22,349,"1,51",350
Granada,22,22,22,22,22,22,22,22,22,17,15,15,17,16,20,22,22,7,9,18,22,243,"1,35",244
Huelva,18,22,22,22,8,16,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,95,"1,14",96
Almeria,22,22,22,22,22,8,11,13,20,22,22,17,19,22,22,22,22,22,22,22,17,186,"1,27",220
Vallecano,20,22,22,22,22,22,22,22,22,15,8,12,11,18,22,22,20,22,22,12,11,212,"1,31",252
Alaves,19,22,22,18,22,22,22,22,22,22,22,22,22,22,9,14,11,16,16,20,22,220,"1,32",221
Eibar,22,22,22,22,22,22,22,22,22,22,22,22,18,14,10,9,12,14,20,22,22,201,"1,29",202
Gijon,22,22,22,22,22,22,14,15,10,19,22,22,22,17,18,22,22,22,22,22,22,178,"1,26",179
Girona,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,18,22,22,22,10,88,"1,13",129
Las Palmas,22,22,22,22,22,22,22,22,22,22,22,22,22,11,14,19,22,22,22,22,22,98,"1,14",99
Cadiz,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,17,14,107,"1,16",144
Elche,22,22,22,22,22,22,22,22,22,22,22,16,13,22,22,22,22,22,17,13,20,134,"1,19",165
Leganes,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,17,13,18,22,22,22,128,"1,19",129
Valladolid,14,18,22,22,22,15,15,19,22,22,14,19,22,22,22,22,16,13,19,22,18,266,"1,39",299
Albacete,22,14,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,53,"1,08",54
Teneriffa,22,22,22,22,22,22,22,18,22,22,22,22,22,22,22,22,22,22,22,22,22,47,"1,07",48
Huesca,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,19,22,18,22,22,91,"1,13",92
Numancia,22,22,19,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,66,"1,10",67
Murcia,22,20,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,62,"1,09",63
Alicante,22,22,22,22,22,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,22,44,"1,06",45
Tarragona,22,22,22,22,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,43,"1,06",44
Xerez,22,22,22,22,22,22,22,20,22,22,22,22,22,22,22,22,22,22,22,22,22,46,"1,07",47
Cordoba,22,22,22,22,22,22,22,22,22,22,22,22,20,22,22,22,22,22,22,22,22,50,"1,07",51
