Teams,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Aggregate bef. '22,FeatuerScaledAggr,Aggregate bef. '23
Lyon,1,1,1,1,1,1,3,2,3,4,3,5,2,2,4,3,3,7,4,8,7,725,"1,99",769
Bordeaux,4,12,15,2,6,2,1,6,7,5,7,7,6,11,6,6,14,22,12,20,22,630,"1,86",631
Marseille,3,7,5,5,2,3,2,1,2,10,2,6,4,13,5,4,5,3,5,2,3,729,"2,00",777
Lille,14,10,2,3,10,7,5,4,1,3,6,3,8,5,11,17,2,5,1,10,5,684,"1,94",730
Montpellier,16,20,22,22,22,22,22,5,14,1,9,15,7,12,15,10,6,12,8,13,12,568,"1,78",607
Paris SG,11,2,9,9,15,16,6,13,4,2,1,1,1,1,2,1,1,1,2,1,1,570,"1,78",620
Monaco,2,3,3,10,9,12,11,8,18,22,22,2,3,3,1,2,17,6,3,3,6,578,"1,79",623
Lens,8,8,7,4,5,18,22,11,19,22,22,22,20,22,22,22,22,2,7,7,2,350,"1,48",399
Toulouse,22,16,13,16,3,17,4,14,8,8,10,9,17,17,13,18,16,13,22,22,13,488,"1,67",526
Auxerre,6,4,8,6,8,15,8,3,9,20,22,22,22,22,22,22,22,17,22,22,17,308,"1,42",342
Nice,10,11,12,8,16,8,9,15,17,13,4,17,11,4,3,8,7,9,9,5,9,545,"1,75",587
Rennes,15,9,4,7,4,6,7,9,6,6,13,12,9,8,9,5,10,4,6,4,4,626,"1,86",673
Nancy,22,22,22,12,13,4,15,12,13,11,18,22,22,22,19,22,22,22,22,22,22,263,"1,36",264
St. Etienne,22,22,6,13,11,5,17,17,10,7,5,4,5,6,8,7,4,22,11,18,22,480,"1,66",481
Sochaux,5,5,10,15,7,14,14,16,5,14,15,18,22,22,22,22,22,22,22,22,22,266,"1,37",267
Nantes,9,6,17,14,20,22,19,22,22,22,22,13,14,14,7,9,12,16,18,9,16,367,"1,50",402
Strasbourg,13,13,11,19,22,19,22,22,22,22,22,22,22,22,22,15,11,15,15,6,15,244,"1,33",280
Guingamp,7,18,22,22,22,22,22,22,22,22,22,16,10,16,10,12,20,22,22,22,22,210,"1,29",211
Lorient,22,22,22,22,14,10,10,7,11,17,8,8,16,15,18,22,22,10,16,16,10,510,"1,70",551
Caen,22,22,18,22,22,11,18,22,15,18,22,22,13,7,17,16,19,22,22,22,22,280,"1,38",281
Reims,22,22,22,22,22,22,22,22,22,22,14,11,15,18,22,22,8,11,14,12,11,246,"1,34",286
Clermont,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,8,22,17,8,92,"1,13",135
Le Mans UC 72,22,19,22,11,12,9,16,18,22,22,22,22,22,22,22,22,22,22,22,22,22,144,"1,20",145
Gaillard,22,22,22,22,22,22,22,22,22,9,16,14,18,22,22,22,22,22,22,22,22,120,"1,16",121
Angers,22,22,22,22,22,22,22,22,22,22,22,22,22,9,12,14,13,20,13,14,20,223,"1,31",254
Nimes,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,9,22,19,22,22,92,"1,13",93
Valenciennes,22,22,22,22,17,13,12,10,12,12,11,19,22,22,22,22,22,22,22,22,22,235,"1,32",236
SC Bastia,12,17,19,22,22,22,22,22,22,22,12,10,12,10,20,22,22,22,22,22,22,187,"1,26",188
Metz,22,14,16,20,22,20,22,22,22,22,22,22,19,22,14,20,22,22,10,19,22,251,"1,34",252
Dijon,22,22,22,22,22,22,22,22,22,19,22,22,22,22,16,11,18,22,20,22,22,177,"1,24",178
Brest,22,22,22,22,22,22,22,22,16,15,20,22,22,22,22,22,22,14,17,11,14,182,"1,25",219
Grenoble,22,22,22,22,22,22,13,20,22,22,22,22,22,22,22,22,22,22,22,22,22,69,"1,09",70
Amiens,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,13,15,22,22,22,22,84,"1,12",85
Ajaccio,17,15,14,18,22,22,22,22,22,16,17,20,22,22,22,22,22,18,22,22,18,187,"1,26",220
Troyes,20,22,22,17,18,22,22,22,22,22,19,22,22,20,22,19,22,19,22,15,19,239,"1,33",271
Le Havre,18,22,22,22,22,22,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,55,"1,07",56
Sedan,19,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,52,"1,07",53
US Boulogne,22,22,22,22,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,22,22,48,"1,07",49
GFC Ajaccio,22,22,22,22,22,22,22,22,22,22,22,22,22,19,22,22,22,22,22,22,22,55,"1,07",56
FC Istres,22,22,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,39,"1,05",40
Arles,22,22,22,22,22,22,22,22,20,22,22,22,22,22,22,22,22,22,22,22,22,47,"1,06",48
