Teams,Real chance of winning,"WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
small-spread Odds","BIG spread
spec. bets
using ""great Odds""",Small Spread Odds,Higher tHan Pinnacle
Lyon,"0,50","-2,61","2,95","-2,68","0,32","0,00","-1,68","-0,6125"
Bordeaux,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Marseille,"0,50","-4,68","-2,79","-4,72","0,29","0,00","-3,72","-3,6775"
Lille,"0,65","1,88","1,29","1,87","6,87","0,00","2,87","2,3475"
Montpellier,"0,35","-4,04","-2,04","-4,06","-0,06","0,00","-3,06","-0,8025"
Paris SG,"0,65","-3,70","0,00","-3,73","1,27","0,00","-2,73","-2,915"
Monaco,"0,45","-4,81","-1,89","-4,84","-0,84","0,00","-3,84","-3,8125"
Lens,"0,85","8,42","4,23","9,92","17,92","0,00","10,92","10,07"
Toulouse,"0,30","-7,21","-7,89","-7,27","-1,27","-1,00","-5,27","-5,205"
Auxerre,"0,25","-5,60","-5,48","-5,70","-4,70","0,00","-4,70","-4,5975"
Nice,"0,35","-5,24","-1,36","-5,26","-1,26","0,00","-4,26","-4,235"
Rennes,"0,75","8,11","4,96","8,08","14,08","0,00","9,08","9,1125"
Nancy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
St. Etienne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sochaux,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nantes,"0,25","-10,16","-9,42","-10,20","-6,20","0,00","-9,20","-8,16"
Strasbourg,"0,25","-9,93","-7,62","-9,97","-6,97","0,00","-8,97","-8,925"
Guingamp,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lorient,"0,45","4,76","6,01","4,76","6,76","0,00","5,76","5,7625"
Caen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Reims,"0,40","-2,27","-2,30","-2,26","-0,26","0,00","-1,26","-1,88"
Clermont,"0,45","5,83","3,65","5,83","8,83","0,00","6,83","7,83"
Le Mans UC 72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gaillard,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Angers,"0,15","-7,52","-7,50","-7,38","-2,38","0,00","-4,38","-6,955"
Nimes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Valenciennes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SC Bastia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Metz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dijon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brest,"0,35","-3,43","-1,54","-3,45","-2,45","0,00","-2,45","-2,425"
Grenoble,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Amiens,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ajaccio,"0,20","-4,63","-4,64","-4,64","-1,64","0,00","-2,64","-3,6325"
Troyes,"0,05","-17,52","-15,52","-17,50","-16,50","0,00","-16,50","-14,515"
Le Havre,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sedan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
US Boulogne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GFC Ajaccio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FC Istres,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Arles,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,"-64,31","-46,88","-63,19","11,82","-1,00","-39,19","-37,23"
