,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Man United,Arsenal,Chelsea,Chelsea,Man United,Man United,Man United,Chelsea,Man United,Man City,Man United,Man City,Chelsea,Leicester,Chelsea,Man City,Man City,Liverpool,Man City,Man City,Man City
2,Arsenal,Chelsea,Arsenal,Man United,Chelsea,Chelsea,Liverpool,Man United,Chelsea,Man United,Man City,Liverpool,Man City,Arsenal,Tottenham,Man United,Liverpool,Man City,Man United,Liverpool,Arsenal
3,Newcastle,Man United,Man United,Liverpool,Liverpool,Arsenal,Chelsea,Arsenal,Man City,Arsenal,Chelsea,Chelsea,Arsenal,Tottenham,Man City,Tottenham,Chelsea,Man United,Liverpool,Chelsea,Man United
4,Chelsea,Liverpool,Everton,Arsenal,Arsenal,Liverpool,Arsenal,Tottenham,Arsenal,Tottenham,Arsenal,Arsenal,Man United,Man City,Liverpool,Liverpool,Tottenham,Chelsea,Chelsea,Tottenham,Newcastle
5,Liverpool,Newcastle,Liverpool,Tottenham,Tottenham,Everton,Everton,Man City,Tottenham,Newcastle,Tottenham,Everton,Tottenham,Man United,Arsenal,Chelsea,Arsenal,Leicester,Leicester,Arsenal,Liverpool
6,Blackburn,Aston Villa,Bolton,Blackburn,Everton,Aston Villa,Aston Villa,Aston Villa,Liverpool,Chelsea,Everton,Tottenham,Liverpool,Southampton,Man United,Arsenal,Man United,Tottenham,West Ham,Man United,Brighton
7,Everton,Charlton,Middlesbrough,Newcastle,Bolton,Blackburn,Fulham,Liverpool,Everton,Everton,Liverpool,Man United,Southampton,West Ham,Everton,Burnley,Wolves,Wolves,Tottenham,West Ham,Aston Villa
8,Southampton,Bolton,Man City,Bolton,Reading,Portsmouth,Tottenham,Everton,Fulham,Liverpool,West Brom,Southampton,Swansea,Liverpool,Southampton,Everton,Everton,Arsenal,Arsenal,Leicester,Tottenham
9,Man City,Fulham,Tottenham,West Ham,Portsmouth,Man City,West Ham,Birmingham,Aston Villa,Fulham,Swansea,Stoke,Stoke,Stoke,Bournemouth,Leicester,Leicester,Sheffield U.,Leeds,Brighton,Brentford
10,Tottenham,Birmingham,Aston Villa,Wigan,Blackburn,West Ham,Man City,Blackburn,Sunderland,West Brom,West Ham,Newcastle,Crystal Palace,Chelsea,West Brom,Newcastle,West Ham,Burnley,Everton,Wolves,Fulham
11,Middlesbrough,Middlesbrough,Charlton,Everton,Aston Villa,Tottenham,Wigan,Stoke,West Brom,Swansea,Norwich,Crystal Palace,Everton,Everton,West Ham,Crystal Palace,Watford,Southampton,Aston Villa,Newcastle,Crystal Palace
12,Charlton,Southampton,Birmingham,Fulham,Middlesbrough,Newcastle,Stoke,Fulham,Newcastle,Norwich,Fulham,Swansea,West Ham,Swansea,Leicester,Bournemouth,Crystal Palace,Everton,Newcastle,Crystal Palace,Chelsea
13,Birmingham,Portsmouth,Fulham,Charlton,Newcastle,Middlesbrough,Bolton,Sunderland,Stoke,Sunderland,Stoke,West Ham,West Brom,Watford,Stoke,West Ham,Newcastle,Newcastle,Wolves,Brentford,Wolves
14,Fulham,Tottenham,Newcastle,Middlesbrough,Man City,Wigan,Portsmouth,Bolton,Bolton,Stoke,Southampton,Sunderland,Leicester,West Brom,Crystal Palace,Watford,Bournemouth,Crystal Palace,Crystal Palace,Aston Villa,West Ham
15,Leeds,Blackburn,Blackburn,Man City,West Ham,Sunderland,Blackburn,Wolves,Blackburn,Wigan,Aston Villa,Aston Villa,Newcastle,Crystal Palace,Swansea,Brighton,Burnley,Brighton,Southampton,Southampton,Bournemouth
16,Aston Villa,Man City,Portsmouth,Aston Villa,Fulham,Bolton,Sunderland,Wigan,Wigan,Aston Villa,Newcastle,Hull,Sunderland,Bournemouth,Burnley,Huddersfield,Southampton,West Ham,Brighton,Everton,Nott'm Forest
17,Bolton,Everton,West Brom,Portsmouth,Wigan,Fulham,Hull,West Ham,Wolves,QPR,Sunderland,West Brom,Aston Villa,Sunderland,Watford,Southampton,Brighton,Aston Villa,Burnley,Leeds,Everton
18,West Ham,Leicester,Crystal Palace,Birmingham,Sheffield U.,Reading,Newcastle,Burnley,Birmingham,Bolton,Wigan,Norwich,Hull,Newcastle,Hull,Swansea,Cardiff,Bournemouth,Fulham,Burnley,Leicester
19,West Brom,Leeds,Norwich,West Brom,Charlton,Birmingham,Middlesbrough,Hull,Blackpool,Blackburn,Reading,Fulham,Burnley,Norwich,Middlesbrough,Stoke,Fulham,Watford,West Brom,Watford,Leeds
20,Sunderland,Wolves,Southampton,Sunderland,Watford,Derby,West Brom,Portsmouth,West Ham,Wolves,QPR,Cardiff,QPR,Aston Villa,Sunderland,West Brom,Huddersfield,Norwich,Sheffield U.,Norwich,Southampton
