Teams,2002,2003,2004,2005,2006,2007,2008,2009,2010,Aggregate 1 or 9 per lower,Aggregate 5 or 9 per lower
Aachen,22,22,22,22,17,22,22,22,22,50,78
Augsburg,22,22,22,22,22,22,22,22,22,9,45
Bayern Munich,1,2,1,1,4,1,2,1,3,443,443
Bielefeld,16,22,13,13,12,15,18,22,22,230,238
Bochum,9,5,16,22,8,12,14,17,22,286,290
Braunschweig,22,22,22,22,22,22,22,22,22,9,45
Cottbus,18,22,22,22,13,14,16,22,22,156,172
Darmstadt,22,22,22,22,22,22,22,22,22,9,45
Dortmund,3,6,7,7,9,13,6,5,1,402,402
Duisburg,22,22,22,18,22,18,22,22,22,89,109
Ein Frankfurt,22,16,22,14,14,9,13,10,17,282,282
FC Koln,22,18,22,17,22,22,12,13,10,213,217
Fortuna Dusseldorf,22,22,22,22,22,22,22,22,22,9,45
Freiburg,22,13,18,22,22,22,22,14,9,171,183
Greuther Furth,22,22,22,22,22,22,22,22,22,9,45
Hamburg,4,8,8,3,7,4,5,7,8,405,405
Hannover,11,14,10,12,11,8,11,15,4,363,363
Hansa Rostock,13,9,17,22,22,17,22,22,22,161,177
Hertha,5,12,4,6,10,10,4,18,22,340,344
Hoffenheim,22,22,22,22,22,22,7,11,11,138,158
Ingolstadt,22,22,22,22,22,22,22,22,22,9,45
Kaiserslautern,14,15,12,16,22,22,22,22,7,203,215
Karlsruhe,22,22,22,22,22,11,17,22,22,89,113
Leverkusen,15,3,6,5,5,7,9,4,2,403,403
Mainz,22,22,11,11,16,22,22,9,5,223,231
Mgladbach,12,11,15,10,18,22,15,12,16,308,308
Munich 1860,10,17,22,22,22,22,22,22,22,82,110
Nurnberg,17,22,14,8,6,16,22,16,6,292,292
Paderborn,22,22,22,22,22,22,22,22,22,9,45
RB Leipzig,22,22,22,22,22,22,22,22,22,9,45
Schalke 04,7,7,2,4,2,3,8,2,14,410,410
St Pauli,22,22,22,22,22,22,22,22,18,49,77
Stuttgart,2,4,5,9,1,6,3,6,12,411,411
Union Berlin,22,22,22,22,22,22,22,22,22,9,45
Werder Bremen,6,1,3,2,3,2,10,3,13,416,416
Wolfsburg,8,10,9,15,15,5,1,8,15,373,373
Heidenheim,22,22,22,22,22,22,22,22,22,9,45
