Teams,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Aggregate bef. '22,FeatuerScaledAggr,Aggregate bef. '23
Inter,1,1,3,1,1,1,1,1,2,6,9,5,8,4,7,4,4,2,1,2,3,689,"2,00",737
Juventus,4,4,1,20,22,3,2,7,7,1,1,1,1,1,1,1,1,1,4,4,7,598,"1,87",642
Milan,2,2,2,3,4,5,3,3,1,2,3,8,10,7,6,6,5,6,2,1,4,662,"1,96",709
Napoli,3,3,22,22,22,8,12,6,3,5,2,3,5,2,3,2,2,7,5,3,1,567,"1,82",617
Roma,13,13,8,2,2,2,6,2,6,7,6,2,2,3,2,3,6,5,7,6,6,663,"1,96",708
Lazio,16,16,10,16,3,12,10,12,5,4,7,9,3,8,5,5,8,4,6,5,2,540,"1,78",589
Udinese,17,17,4,11,10,7,7,15,4,3,5,13,16,17,13,14,12,13,14,12,12,513,"1,74",552
Atalanta,6,6,20,22,8,9,11,18,22,12,15,11,17,13,4,7,3,3,3,8,5,460,"1,67",506
Chievo,22,22,15,4,18,22,16,14,11,10,12,16,14,9,14,13,20,22,22,22,22,377,"1,55",378
Fiorentina,5,5,16,9,6,4,4,11,9,13,4,4,4,5,8,8,16,10,13,7,8,566,"1,82",609
Sampdoria,22,22,5,13,9,6,13,4,18,22,14,12,7,15,10,10,9,15,9,15,20,583,"1,85",614
Palermo,22,22,6,5,5,11,8,5,8,16,18,22,11,16,19,22,22,22,22,22,22,364,"1,53",365
Genoa,14,14,22,22,22,10,5,9,10,17,17,14,6,11,16,12,17,17,11,19,22,530,"1,77",531
Livorno,22,22,9,6,11,20,22,20,22,22,22,20,22,22,22,22,22,22,22,22,22,153,"1,22",154
Parma,22,22,18,7,12,19,22,8,12,8,10,6,20,22,22,22,14,11,20,22,22,403,"1,58",404
Sassuolo,11,11,22,22,22,22,22,22,22,22,22,17,12,6,12,11,11,8,8,11,13,278,"1,40",316
Lecce,7,7,11,18,22,22,20,22,17,18,22,22,22,22,22,22,22,18,22,22,16,196,"1,28",231
Messina,22,22,7,17,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,75,"1,11",76
Empoli,19,19,22,8,7,18,22,22,22,22,22,22,15,10,18,22,18,22,22,14,14,254,"1,37",291
Torino,10,10,22,22,16,15,18,22,22,22,16,7,9,12,9,9,7,16,17,10,10,359,"1,52",400
Bologna,8,8,17,22,22,22,17,17,16,9,13,19,22,14,15,15,10,12,12,13,9,418,"1,61",460
Catania,22,22,22,22,13,17,15,13,13,11,8,18,22,22,22,22,22,22,22,22,22,203,"1,29",204
Frosinone,9,9,22,22,22,22,22,22,22,22,22,22,22,19,22,22,19,22,22,22,22,116,"1,17",117
Cagliari,20,20,12,14,17,14,9,16,14,15,11,15,18,22,11,16,15,14,16,18,22,468,"1,68",469
Hellas,15,15,22,22,22,22,22,22,22,22,22,10,13,20,22,19,22,9,10,9,18,242,"1,35",275
Ascoli,22,22,22,10,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,63,"1,09",64
Bari,22,22,22,22,22,22,22,10,20,22,22,22,22,22,22,22,22,22,22,22,22,75,"1,11",76
Monza,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,57,"1,08",97
Reggina,22,22,13,12,14,16,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,113,"1,16",114
Siena,22,22,14,15,15,13,14,19,22,14,19,22,22,22,22,22,22,22,22,22,22,184,"1,27",185
SPAL,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,13,20,22,22,22,106,"1,15",107
Cesena,22,22,22,22,22,22,22,22,15,20,22,22,19,22,22,22,22,22,22,22,22,94,"1,14",95
Spezia,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,16,17,84,"1,12",118
Salernitana,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,15,80,"1,12",116
Crotone,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,18,22,22,19,22,22,111,"1,16",112
Carpi,22,22,22,22,22,22,22,22,22,22,22,22,22,18,22,22,22,22,22,22,22,50,"1,07",51
Benevento,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,22,22,18,22,22,89,"1,13",90
Brescia,22,22,19,22,22,22,22,22,19,22,22,22,22,22,22,22,22,19,22,22,22,99,"1,14",100
Treviso,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,43,"1,06",44
Novara,22,22,22,22,22,22,22,22,22,19,22,22,22,22,22,22,22,22,22,22,22,47,"1,07",48
Cremonese,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,19,28,"1,04",60
Pescara,22,22,22,22,22,22,22,22,22,22,20,22,22,22,20,22,22,22,22,22,22,78,"1,11",79
Venedig,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,22,56,"1,08",57
