Rank,Jahr,Club
1,2002,Inter
1,2003,Inter
1,2004,Juventus
1,2005,Inter
1,2006,Inter
1,2007,Inter
1,2008,Inter
1,2009,Inter
1,2010,Milan
1,2011,Juventus
1,2012,Juventus
1,2013,Juventus
1,2014,Juventus
1,2015,Juventus
1,2016,Juventus
1,2017,Juventus
1,2018,Juventus
1,2019,Juventus
1,2020,Inter
1,2021,Milan
1,2022,Napoli
2,2002,Milan
2,2003,Milan
2,2004,Milan
2,2005,Roma
2,2006,Roma
2,2007,Roma
2,2008,Juventus
2,2009,Roma
2,2010,Inter
2,2011,Milan
2,2012,Napoli
2,2013,Roma
2,2014,Roma
2,2015,Napoli
2,2016,Roma
2,2017,Napoli
2,2018,Napoli
2,2019,Inter
2,2020,Milan
2,2021,Inter
2,2022,Lazio
3,2002,Napoli
3,2003,Napoli
3,2004,Inter
3,2005,Milan
3,2006,Lazio
3,2007,Juventus
3,2008,Milan
3,2009,Milan
3,2010,Napoli
3,2011,Udinese
3,2012,Milan
3,2013,Napoli
3,2014,Lazio
3,2015,Roma
3,2016,Napoli
3,2017,Roma
3,2018,Atalanta
3,2019,Atalanta
3,2020,Atalanta
3,2021,Napoli
3,2022,Inter
4,2002,Juventus
4,2003,Juventus
4,2004,Udinese
4,2005,Chievo
4,2006,Milan
4,2007,Fiorentina
4,2008,Fiorentina
4,2009,Sampdoria
4,2010,Udinese
4,2011,Lazio
4,2012,Fiorentina
4,2013,Fiorentina
4,2014,Fiorentina
4,2015,Inter
4,2016,Atalanta
4,2017,Inter
4,2018,Inter
4,2019,Lazio
4,2020,Juventus
4,2021,Juventus
4,2022,Milan
5,2002,Fiorentina
5,2003,Fiorentina
5,2004,Sampdoria
5,2005,Palermo
5,2006,Palermo
5,2007,Milan
5,2008,Genoa
5,2009,Palermo
5,2010,Lazio
5,2011,Napoli
5,2012,Udinese
5,2013,Inter
5,2014,Napoli
5,2015,Fiorentina
5,2016,Lazio
5,2017,Lazio
5,2018,Milan
5,2019,Roma
5,2020,Napoli
5,2021,Lazio
5,2022,Atalanta
6,2002,Atalanta
6,2003,Atalanta
6,2004,Palermo
6,2005,Livorno
6,2006,Fiorentina
6,2007,Sampdoria
6,2008,Roma
6,2009,Napoli
6,2010,Roma
6,2011,Inter
6,2012,Roma
6,2013,Parma
6,2014,Genoa
6,2015,Sassuolo
6,2016,Milan
6,2017,Milan
6,2018,Roma
6,2019,Milan
6,2020,Lazio
6,2021,Roma
6,2022,Roma
7,2002,Lecce
7,2003,Lecce
7,2004,Messina
7,2005,Parma
7,2006,Empoli
7,2007,Udinese
7,2008,Udinese
7,2009,Juventus
7,2010,Juventus
7,2011,Roma
7,2012,Lazio
7,2013,Torino
7,2014,Sampdoria
7,2015,Milan
7,2016,Inter
7,2017,Atalanta
7,2018,Torino
7,2019,Napoli
7,2020,Roma
7,2021,Fiorentina
7,2022,Juventus
8,2002,Bologna
8,2003,Bologna
8,2004,Roma
8,2005,Empoli
8,2006,Atalanta
8,2007,Napoli
8,2008,Palermo
8,2009,Parma
8,2010,Palermo
8,2011,Parma
8,2012,Catania
8,2013,Milan
8,2014,Inter
8,2015,Lazio
8,2016,Fiorentina
8,2017,Fiorentina
8,2018,Lazio
8,2019,Sassuolo
8,2020,Sassuolo
8,2021,Atalanta
8,2022,Fiorentina
