MatchID,Matchday,Date,,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,CurrentRankHT,CurrentRankAT,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,"BbMx>2,5","BbAv>2,5","BbMx<2,5","BbAv<2,5",BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Historic,IF [ H ] w/Great Odds,"All Bets ""Great Odds""",If [ H ] weighted Odds,If [ H ] median Odds,,If [ H ] small Spread,All small Spread,If [ H ] big spread,All big spread,All Small Spread,"Weighted to Median
(Nearest)","Higher Than
Pinnacle","Weighted to Median
(Nearest) Relative"
0,1,09/08/13,,Bayern Munich,Mgladbach,3,1,H,2,1,H,26,11,9,4,12,11,6,4,1,3,0,0,#N/A,#N/A,"1,13","8,50","19,00","1,14","8,25","15,00","1,20","5,80","13,00","1,12","8,00","19,00","1,14","10,08","21,46","1,14","6,50","15,00","1,13","7,50","17,00","1,14","9,00","19,00","32,00","1,20","1,13","10,15","8,33","24,00","18,53","20,00","1,35","1,31","3,50","3,29","20,00","-2,50","2,12","2,04","1,89","1,84","1,15","9,02","22,50",,,,,,,,,,,,,,
1,1,10/08/13,,Augsburg,Dortmund,0,4,A,0,1,A,11,13,4,9,18,12,5,6,2,0,0,0,#N/A,#N/A,"7,00","4,33","1,44","7,50","4,60","1,40","6,10","4,00","1,50","7,00","4,33","1,44","8,25","4,69","1,46","7,50","3,75","1,50","7,50","4,00","1,40","8,00","4,60","1,45","32,00","8,32","7,37","4,75","4,26","1,50","1,44","30,00","1,76","1,70","2,24","2,14","21,00","1,00","2,52","2,16","1,81","1,74","6,48","4,25","1,58",,,,,,,,,,,,,,
2,1,10/08/13,,Braunschweig,Werder Bremen,0,1,A,0,0,D,13,12,3,4,10,18,2,7,1,0,0,0,#N/A,#N/A,"2,70","3,40","2,50","2,70","3,40","2,50","2,70","3,40","2,40","2,87","3,30","2,40","2,89","3,57","2,54","2,75","3,10","2,62","2,80","3,30","2,38","2,80","3,50","2,55","32,00","3,00","2,83","3,57","3,34","2,63","2,44","30,00","1,80","1,74","2,24","2,10","17,00","0,00","2,13","2,07","1,85","1,79","3,03","3,42","2,50",,,,,,,,,,,,,,
3,1,10/08/13,,Hannover,Wolfsburg,2,0,H,1,0,H,20,15,8,4,28,11,7,2,4,0,0,2,#N/A,#N/A,"2,60","3,40","2,60","2,65","3,40","2,55","2,40","3,30","2,75","2,50","3,40","2,70","2,84","3,50","2,61","2,75","3,00","2,75","2,63","3,30","2,50","2,70","3,60","2,62","32,00","2,85","2,65","3,51","3,34","2,75","2,59","28,00","1,75","1,67","2,34","2,19","18,00","0,00","2,05","1,97","1,95","1,88","3,34","3,46","2,31",,,,,,,,,,,,,,
4,1,10/08/13,,Hertha,Ein Frankfurt,6,1,H,2,1,H,16,10,9,4,19,18,5,4,0,2,0,0,#N/A,#N/A,"2,20","3,40","3,20","2,40","3,30","2,90","2,20","3,30","3,10","2,30","3,40","3,00","2,38","3,52","3,16","2,40","3,10","3,10","2,30","3,30","3,00","2,38","3,50","3,10","32,00","2,40","2,31","3,60","3,33","3,20","3,04","30,00","1,89","1,81","2,12","2,00","18,00","0,00","1,73","1,68","2,31","2,24","2,59","3,30","3,02",,,,,,,,,,,,,,
5,1,10/08/13,,Hoffenheim,Nurnberg,2,2,D,1,0,H,23,12,8,5,17,17,6,9,1,4,0,0,#N/A,#N/A,"2,10","3,30","3,50","2,05","3,30","3,60","2,00","3,40","3,50","2,10","3,25","3,50","2,11","3,51","3,83","2,20","3,10","3,50","2,05","3,30","3,40","2,15","3,50","3,60","32,00","2,20","2,08","3,55","3,32","3,83","3,52","30,00","2,04","1,98","1,90","1,83","17,00","-0,50","2,13","2,09","1,83","1,80","2,12","3,36","3,93",,,,,,,,,,,,,,
6,1,10/08/13,,Leverkusen,Freiburg,3,1,H,1,1,D,18,8,6,3,11,16,5,2,2,2,0,0,#N/A,#N/A,"1,44","4,50","6,50","1,45","4,50","6,50","1,40","4,40","7,30","1,44","4,33","7,00","1,46","4,81","7,89","1,50","3,75","7,50","1,44","4,33","7,00","1,45","4,80","7,50","32,00","1,50","1,44","4,81","4,37","8,00","7,09","30,00","1,71","1,64","2,38","2,25","21,00","-1,00","1,82","1,74","2,23","2,16","1,51","4,51","7,41",,,,,,,,,,,,,,
7,1,11/08/13,,Mainz,Stuttgart,3,2,H,1,1,D,9,15,7,10,15,13,2,8,2,4,0,0,#N/A,#N/A,"2,40","3,40","2,80","2,40","3,30","2,90","2,40","3,40","2,70","2,30","3,40","3,00","2,47","3,46","3,07","2,50","3,10","2,90","2,38","3,30","2,80","2,50","3,40","2,90","32,00","2,50","2,40","3,48","3,31","3,11","2,91","30,00","1,99","1,91","2,00","1,90","17,00","-0,25","2,12","2,09","1,85","1,81","2,13","3,40","3,90",,,,,,,,,,,,,,
8,1,11/08/13,,Schalke 04,Hamburg,3,3,D,2,2,D,19,16,8,6,15,11,3,7,1,2,0,0,#N/A,#N/A,"1,44","4,33","7,00","1,44","4,50","6,75","1,60","3,70","5,40","1,44","4,33","7,00","1,48","4,86","7,20","1,50","4,00","7,00","1,40","4,33","7,00","1,50","4,60","7,00","31,00","1,60","1,44","4,86","4,46","7,50","6,91","21,00","1,67","1,62","2,46","2,27","20,00","-1,00","1,78","1,72","2,26","2,18","1,46","4,86","7,67",,,,,,,,,,,,,,
9,2,17/08/13,,Ein Frankfurt,Bayern Munich,0,1,A,0,1,A,9,15,3,7,9,17,6,5,1,1,0,0,18,4,"10,00","5,25","1,29","9,00","6,25","1,26","7,60","4,80","1,35","11,00","5,00","1,28","12,80","6,30","1,28","10,00","5,50","1,29","9,50","5,25","1,27","12,00","6,00","1,29","31,00","12,39","10,49","6,64","5,65","1,35","1,27","19,00","1,46","1,40","3,00","2,83",,,,,,,"13,68","6,81","1,25","2,39",0,"10,25",0,0,,0,0,0,"10,25",0,"10,00","0,00","0,976"
