MatchID,Matchday,Date,,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,CurrentRankHT,CurrentRankAT,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,"BbMx>2,5","BbAv>2,5","BbMx<2,5","BbAv<2,5",BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Historic,IF [ H ] w/Great Odds,"All Bets ""Great Odds""",If [ H ] weighted Odds,If [ H ] median Odds,,If [ H ] small Spread,All small Spread,If [ H ] big spread,All big spread,All Small Spread,"Weighted to Median
(Nearest)",HIgher Than Pinnacle,"Weighted to Median
(Nearest) Relative"
0,1,22/08/14,,Bayern Munich,Wolfsburg,2,1,H,1,0,H,17,9,10,4,5,9,9,3,0,2,0,0,#N/A,#N/A,"1,25","6,00","10,00","1,26","5,75","10,00","1,28","5,50","8,50","1,25","6,50","10,00","1,28","6,47","12,00","1,20","7,00","12,00","1,25","5,80","9,00","1,29","6,00","12,00","49,00","1,30","1,25","7,00","6,20","13,00","10,87","38,00","1,44","1,38","3,20","3,00","22,00","-2,00","2,35","2,24","1,73","1,68","1,29","6,67","10,58",,,,,,,,,,,,,,
1,1,23/08/14,,Dortmund,Leverkusen,0,2,A,0,1,A,11,11,4,2,13,28,8,4,1,2,0,0,#N/A,#N/A,"1,57","4,33","5,00","1,62","4,00","5,00","1,55","4,30","5,00","1,57","4,00","5,50","1,63","4,39","5,56","1,62","4,20","5,00","1,57","4,00","5,25","1,65","4,00","6,00","50,00","1,70","1,59","4,40","4,11","6,00","5,47","38,00","1,60","1,55","2,57","2,39","26,00","-1,00","2,08","2,02","1,87","1,84","1,75","4,18","4,77",,,,,,,,,,,,,,
2,1,23/08/14,,Ein Frankfurt,Freiburg,1,0,H,1,0,H,10,13,3,7,17,22,6,5,1,3,0,0,#N/A,#N/A,"2,05","3,40","3,60","2,05","3,40","3,50","2,00","3,40","3,50","2,00","3,50","3,60","2,04","3,63","3,93","2,10","3,30","3,50",,,,"2,05","3,50","4,00","49,00","2,11","2,01","3,65","3,45","3,95","3,68","44,00","1,87","1,79","2,15","2,01","22,00","-0,50","2,05","2,01","1,90","1,86","2,01","3,74","3,92",,,,,,,,,,,,,,
3,1,23/08/14,,FC Koln,Hamburg,0,0,D,0,0,D,10,19,3,4,23,16,3,6,2,2,0,0,#N/A,#N/A,"2,00","3,50","3,60","2,05","3,50","3,40","2,10","3,30","3,30","2,00","3,40","3,40","2,04","3,67","3,89","2,05","3,60","3,40","1,95","3,40","3,60","2,05","3,60","3,80","49,00","2,21","2,01","3,70","3,50","3,95","3,62","45,00","1,88","1,80","2,14","2,00","21,00","0,00","1,50","1,47","2,92","2,70","2,06","3,62","3,86",,,,,,,,,,,,,,
4,1,23/08/14,,Hannover,Schalke 04,2,1,H,0,0,D,8,12,3,5,12,15,2,4,2,1,0,0,#N/A,#N/A,"2,90","3,50","2,30","2,85","3,50","2,30","2,85","3,40","2,30","3,00","3,40","2,30","3,15","3,58","2,37","3,20","3,20","2,30","3,00","3,30","2,30","3,20","3,50","2,38","49,00","3,21","3,01","3,62","3,42","2,44","2,33","44,00","1,75","1,69","2,30","2,15","22,00","0,25","1,89","1,84","2,08","2,04","3,10","3,60","2,37",,,,,,,,,,,,,,
5,1,23/08/14,,Hertha,Werder Bremen,2,2,D,1,0,H,19,9,5,5,17,18,9,5,1,2,0,0,#N/A,#N/A,"1,95","3,50","3,75","1,95","3,60","3,60","2,00","3,30","3,60","2,00","3,40","3,75","1,97","3,67","4,16","1,95","3,50","3,80","1,95","3,40","3,75","2,00","3,50","4,10","49,00","2,02","1,96","3,80","3,50","4,20","3,85","46,00","2,01","1,89","1,98","1,89","21,00","-0,50","2,02","1,96","1,97","1,92","2,01","3,53","4,18",,,,,,,,,,,,,,
6,1,23/08/14,,Hoffenheim,Augsburg,2,0,H,2,0,H,10,12,3,2,19,15,7,3,2,3,0,0,#N/A,#N/A,"1,91","3,60","3,80","1,95","3,50","3,70","2,00","3,40","3,50","1,90","3,60","3,75","1,96","3,83","4,02","1,95","3,50","3,80","1,91","3,40","3,75","2,00","3,75","3,75","50,00","2,05","1,95","3,95","3,61","4,02","3,78","39,00","1,66","1,61","2,48","2,28","22,00","-0,50","1,99","1,95","1,98","1,92","1,98","3,76","4,01",,,,,,,,,,,,,,
7,1,24/08/14,,Mgladbach,Stuttgart,1,1,D,0,0,D,19,7,6,3,8,16,6,3,2,1,0,0,#N/A,#N/A,"1,95","3,50","3,75","1,95","3,50","3,70","1,90","3,45","3,80","1,90","3,60","3,80","1,94","3,73","4,22","1,95","3,50","3,80","1,90","3,40","3,80","1,95","3,60","4,20","49,00","2,00","1,93","3,80","3,55","4,22","3,92","45,00","1,83","1,76","2,18","2,04","22,00","-0,50","1,96","1,91","2,01","1,96","1,98","3,75","4,00",,,,,,,,,,,,,,
8,1,24/08/14,,Paderborn,Mainz,2,2,D,1,1,D,10,14,3,4,16,14,4,3,2,2,0,0,#N/A,#N/A,"3,10","3,40","2,25","2,85","3,40","2,35","2,75","3,30","2,40","2,87","3,40","2,37","3,15","3,43","2,43","3,10","3,10","2,40","2,88","3,30","2,30","3,00","3,50","2,45","50,00","3,20","2,97","3,50","3,35","2,51","2,37","47,00","2,05","1,95","1,94","1,85","23,00","0,00","2,28","2,19","1,75","1,70","3,39","3,51","2,28",,,,,,,,,,,,,,
9,2,29/08/14,,Augsburg,Dortmund,2,3,A,0,2,A,12,22,3,9,9,12,3,6,2,3,0,0,17,18,"4,50","3,75","1,73","4,75","3,90","1,72","4,30","3,80","1,70","5,00","3,75","1,66","5,11","4,00","1,74","4,60","3,80","1,73","4,50","3,75","1,73","4,80","3,90","1,73","49,00","6,00","5,03","4,20","3,86","1,78","1,68","45,00","1,77","1,71","2,25","2,12","24,00","1,00","1,76","1,71","2,28","2,20","5,76","4,12","1,65","2,62",0,"4,85",0,0,,0,"0,00",0,"4,85",0,"4,80","0,00","98,92%"
