MatchID,Matchday,Date,,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,CurrentRankHT,CurrentRankAT,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,"BbMx>2,5","BbAv>2,5","BbMx<2,5","BbAv<2,5",BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Historic,IF [ H ] w/Great Odds,"All Bets ""Great Odds""",If [ H ] weighted Odds,If [ H ] median Odds,If [ H ] small Spread,All small Spread,If [ H ] big spread,,All big spread,All Small Spread,"Weighted to Median
(Nearest)","If Higher Than
Pinnacle","Weighted to Median
(Nearest) Relative"
0,1,18/08/17,,Bayern Munich,Leverkusen,3,1,H,2,0,H,13,19,8,4,13,17,4,5,1,2,0,0,#N/A,#N/A,"1,25","6,00","12,00","1,22","6,25","13,50","1,30","6,00","8,50","1,22","6,00","13,00","1,26","6,75","12,30","1,25","6,00","11,00","1,25","6,50","12,00","34,00","1,30","1,25","6,89","6,24","13,50","11,47","26,00","1,44","1,41","3,09","2,88","17,00","-2,00","2,26","2,18","1,77","1,72","1,28","6,70","11,30",,,,,,,,,,,,,,
1,1,19/08/17,,Hamburg,Augsburg,1,0,H,1,0,H,11,13,5,1,18,16,3,7,4,3,0,0,#N/A,#N/A,"2,10","3,40","3,60","2,15","3,30","3,60","2,10","3,40","3,50","2,15","3,20","3,50","2,19","3,35","3,70","2,20","3,20","3,40","2,15","3,30","3,70","35,00","2,20","2,14","3,40","3,28","3,75","3,54","32,00","2,25","2,18","1,72","1,68","18,00","-0,25","1,88","1,84","2,07","2,03","2,32","3,32","3,47",,,,,,,,,,,,,,
2,1,19/08/17,,Hertha,Stuttgart,2,0,H,0,0,D,10,9,3,2,18,12,5,1,2,1,0,0,#N/A,#N/A,"2,00","3,40","3,90","2,05","3,50","3,60","2,00","3,40","3,80","2,05","3,40","3,50","2,07","3,58","3,82","2,10","3,40","3,50","2,10","3,50","3,60","35,00","2,12","2,05","3,59","3,43","3,90","3,65","33,00","2,00","1,94","1,93","1,87","18,00","-0,50","2,09","2,05","1,87","1,83","2,02","3,60","4,07",,,,,,,,,,,,,,
3,1,19/08/17,,Hoffenheim,Werder Bremen,1,0,H,0,0,D,14,11,3,2,17,15,6,4,1,3,0,0,#N/A,#N/A,"1,75","4,00","4,33","1,75","4,00","4,40","1,80","3,70","4,30","1,75","4,00","4,20","1,81","4,12","4,38","1,83","3,75","4,00","1,80","4,10","4,20","35,00","1,85","1,79","4,15","3,92","4,40","4,22","27,00","1,56","1,52","2,60","2,50","16,00","-0,75","2,04","1,98","1,91","1,88","1,85","4,19","4,12",,,,,,,,,,,,,,
4,1,19/08/17,,Mainz,Hannover,0,1,A,0,0,D,14,6,6,2,18,14,13,1,3,5,0,0,#N/A,#N/A,"2,00","3,40","4,00","2,00","3,40","3,90","2,10","3,40","3,50","2,00","3,30","4,00","1,99","3,53","4,20","2,00","3,25","4,00","2,00","3,50","3,90","35,00","2,10","1,99","3,53","3,40","4,21","3,92","32,00","2,16","2,06","1,83","1,76","16,00","-0,50","2,01","1,97","1,93","1,89","1,85","3,75","4,65",,,,,,,,,,,,,,
5,1,19/08/17,,Schalke 04,RB Leipzig,2,0,H,1,0,H,11,12,5,3,22,18,4,5,2,2,0,0,#N/A,#N/A,"2,80","3,40","2,50","2,80","3,30","2,55","2,60","3,30","2,70","2,75","3,30","2,50","2,91","3,43","2,57","2,75","3,25","2,60","2,80","3,40","2,55","35,00","2,91","2,78","3,50","3,34","2,70","2,54","34,00","1,94","1,88","2,00","1,92","16,00","0,00","2,08","2,01","1,89","1,85","2,85","3,48","2,62",,,,,,,,,,,,,,
6,1,19/08/17,,Wolfsburg,Dortmund,0,3,A,0,2,A,9,13,0,5,7,15,3,5,0,0,0,0,#N/A,#N/A,"3,80","4,00","1,85","4,10","3,90","1,83","4,10","3,70","1,85","3,90","3,80","1,83","4,24","4,12","1,83","4,00","3,75","1,83","4,00","4,00","1,85","35,00","4,25","4,03","4,12","3,89","1,88","1,83","30,00","1,57","1,54","2,61","2,46","15,00","0,75","1,85","1,81","2,13","2,06","4,07","3,81","1,95",,,,,,,,,,,,,,
7,1,20/08/17,,Freiburg,Ein Frankfurt,0,0,D,0,0,D,7,15,1,2,8,17,3,7,1,2,0,0,#N/A,#N/A,"2,45","3,25","3,00","2,50","3,20","3,00","2,40","3,40","2,90","2,50","3,10","2,90","2,56","3,30","3,02","2,50","3,20","2,90","2,50","3,30","3,00","35,00","2,56","2,48","3,40","3,22","3,05","2,93","33,00","2,25","2,15","1,78","1,70","15,00","0,00","1,82","1,78","2,18","2,10","2,94","3,17","2,74",,,,,,,,,,,,,,
8,1,20/08/17,,Mgladbach,FC Koln,1,0,H,0,0,D,22,13,8,2,12,11,5,3,3,2,0,0,#N/A,#N/A,"1,91","3,50","4,10","1,95","3,50","3,90","2,10","3,40","3,50","1,91","3,40","3,90","1,94","3,65","4,32","1,95","3,50","3,80","1,95","3,60","4,00","34,00","2,10","1,94","3,75","3,47","4,32","3,96","33,00","1,96","1,91","1,98","1,91","16,00","-0,50","1,97","1,93","1,98","1,93","1,80","3,85","4,89",,,,,,,,,,,,,,
9,2,25/08/17,,FC Koln,Hamburg,1,3,A,0,2,A,20,12,6,4,9,9,6,7,2,2,0,1,13,5,"1,95","3,40","4,00","2,00","3,30","4,10","1,90","3,50","4,10","1,95","3,20","3,80","2,03","3,52","4,12","2,00","3,25","4,00","2,05","3,40","4,00","34,00","2,06","2,00","3,52","3,38","4,22","3,97","33,00","2,13","2,06","1,81","1,76","16,00","-0,50","2,03","1,99","1,93","1,88","2,04","3,47","4,11","2,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","2,00","0,00","0,00",#N/A
